name,host_id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews
Williamsburg 2BR. Close to L train,107412747,Brooklyn,40.71058,-73.95294,Entire home/apt,280,1,133
Bright large bedroom in Bushwick,42043282,Brooklyn,40.70335,-73.92891,Private room,70,2,1
Harlem Gem,12672916,Manhattan,40.80147,-73.94432,Entire home/apt,275,3,2
Private Room In Upper East Side,42874738,Manhattan,40.77887,-73.95406,Private room,110,4,81
Comfort and Charm in Harlem with a View!!!,138957777,Manhattan,40.80226,-73.93734,Private room,83,2,25
"Sunny, spacious room in Williamsburg Brooklyn Apt",11418466,Brooklyn,40.70994,-73.94867,Private room,89,2,50
"Cozy, Beautiful Bedroom in Shared Apartment",4803103,Brooklyn,40.68224,-73.97302,Private room,60,5,0
Flatbush pad Sleeps 6 MANHATTAN 30 min Away!,3532263,Brooklyn,40.63556,-73.95076,Entire home/apt,599,2,34
"Williamsburg, BK large apt",22894987,Brooklyn,40.71085,-73.94894,Entire home/apt,100,1,0
Bushwick Oasis,38672291,Brooklyn,40.69143,-73.93436,Private room,64,1,24
Cozy Room for Rent in Williamsburg!,51439873,Brooklyn,40.71557,-73.94004,Private room,75,1,0
"Joellen's Place Spacious 2-twin bed, Bushwick Apt.",71150679,Brooklyn,40.69024,-73.92197,Private room,65,2,77
Prime East Village 1BR,1488170,Manhattan,40.72435,-73.98715,Entire home/apt,225,5,2
"Shopping , City, Close the water Distance",212629546,Brooklyn,40.61523,-74.02917,Private room,60,4,0
Sun filled private room in Brooklyn,1456436,Brooklyn,40.69859,-73.92401,Private room,64,5,32
"Spacious, Great Location, Garden, 1 stop to City.",101883929,Brooklyn,40.68326,-73.98004,Entire home/apt,182,4,83
Spacious Bed Stuy Brooklyn 2 Bedroom Near Subway,33074595,Brooklyn,40.68528,-73.958,Entire home/apt,179,4,28
"Sun-filled 1 Bdrm, Above Subway",7230698,Manhattan,40.82749,-73.94329,Entire home/apt,102,5,20
Serene 1BR in Midtown East by Sonder,12243051,Manhattan,40.74388,-73.97193,Entire home/apt,184,29,1
Large House in Brooklyn near Express Subway,158554204,Brooklyn,40.67917,-73.93103,Entire home/apt,700,1,7
Cozy 1 Bedroom Apt In Great Location!,24842701,Manhattan,40.77493,-73.95874,Entire home/apt,169,3,130
Flatiron NYC 1 Bed/1 Bath Apt!,1911171,Manhattan,40.7421,-73.98319,Entire home/apt,240,4,59
Astoria-Private Home NYC-,722320,Queens,40.75725,-73.91098,Entire home/apt,129,1,414
New MidCentury Modern Apt In The Heart Of Brooklyn,42085952,Brooklyn,40.63088,-73.96113,Entire home/apt,102,2,0
Midtown East,152852607,Manhattan,40.7557,-73.96871,Entire home/apt,185,3,35
Modern 2 Bedroom Walk in. 3 min from Subway !,9289171,Brooklyn,40.66916,-73.93182,Entire home/apt,125,2,20
Comfortable one bedroom in heart of Midtown,12920745,Manhattan,40.75608,-73.99606,Entire home/apt,120,10,2
Room 12,74633496,Bronx,40.85771,-73.90899,Private room,40,3,31
Brooklyn 3BD family oasis w/ walk to Prospect Park,4336488,Brooklyn,40.66365,-73.94611,Entire home/apt,135,3,0
HUGE Manhattan Apt. right next to Central Park,241258373,Manhattan,40.80346,-73.95702,Entire home/apt,198,2,2
Gorgeous One Bedroom in the Heart of Chelsea,4253817,Manhattan,40.74123,-73.99522,Entire home/apt,200,4,45
Penthouse Duplex 2 Bed/2 Bath on Upper West Side,3491890,Manhattan,40.78411,-73.97721,Entire home/apt,245,30,12
Gorgeous Spacious Bedroom In Ridgewood Queens,16494382,Queens,40.70735,-73.89343,Private room,20,7,0
Modern Private King Room Near Central Park,261761719,Manhattan,40.76352,-73.9828,Private room,100,1,0
"No Inq,Read it, 1 BR, Rt of Subway,",1267021,Queens,40.74906,-73.89377,Private room,69,7,55
Big room in a Giant Loft !,244182582,Manhattan,40.72064,-73.99305,Private room,73,30,0
1 bedroom in the East Village,105355373,Manhattan,40.72293,-73.98777,Entire home/apt,143,30,0
Perfectly Located Apartment in Gramercy,46094733,Manhattan,40.73975,-73.98511,Entire home/apt,100,2,3
"Stylish 3,000 sq ft loft in TriBeCa",724633,Manhattan,40.72325,-74.00991,Entire home/apt,1000,2,6
Large unit in Prospect Park area townhouse,5435740,Brooklyn,40.65989,-73.95386,Entire home/apt,99,2,96
"Spacious, charming studio",32715865,Manhattan,40.79169,-73.97498,Entire home/apt,86,1,5
Spacious Master BR Near BK Museum,20267329,Brooklyn,40.67263,-73.96437,Private room,99,2,3
Make Yourself At Home NYC,3852579,Manhattan,40.72092,-73.99386,Entire home/apt,400,2,101
"Bright, spacious and quiet two-bedroom Chelsea apt",79114007,Manhattan,40.74122,-73.99963,Entire home/apt,325,2,47
Idyllic West Village Bedroom - Private Room,3571431,Manhattan,40.73086,-74.00498,Private room,130,5,4
Beautiful East Village Room Open For You!,182411776,Manhattan,40.73045,-73.98067,Private room,115,1,37
Bright Renewed Apartment 1 minute from A express train,182945752,Manhattan,40.84104,-73.93838,Private room,55,2,71
Your own little apartment in New York,140497439,Manhattan,40.83658,-73.94088,Entire home/apt,55,7,2
Pretty 1 BR  2 mins from subway,10039346,Brooklyn,40.62924,-73.96311,Entire home/apt,83,2,0
"Cozy, clean in Greenpoint Brooklyn!",5287536,Brooklyn,40.72961,-73.95656,Entire home/apt,120,1,0
Hey New Yorkers!,169940010,Queens,40.70126,-73.90231,Private room,90,1,4
Sonder | 21 Chelsea | Lovely 1BR + Rooftop,12243051,Manhattan,40.7423,-73.99603,Entire home/apt,255,29,0
West Inn 2 - East Village,72062,Manhattan,40.72518,-73.98034,Private room,125,1,84
Chelsea Studio sublet 1 - 2 months,214287,Manhattan,40.74031,-73.99999,Entire home/apt,125,3,3
Cozy Hideaway in Artist’s Industrial Loft,158599708,Brooklyn,40.68109,-73.96904,Entire home/apt,195,3,47
Gorgeous Midtown West LOFT 3BEDS/1.5BATH XL,258073534,Manhattan,40.76557,-73.98399,Entire home/apt,399,6,5
Sunny Spacious Room + Private Bathroom in Bushwick,20507114,Brooklyn,40.70068,-73.92293,Private room,60,3,8
"Artistic, Cozy Room in Williamsburg",6707228,Brooklyn,40.70748,-73.9461,Private room,145,1,0
Studio steps from park & train!,31877774,Manhattan,40.77889,-73.98155,Entire home/apt,190,2,1
Spacious bedroom in colorful apartment,4401058,Brooklyn,40.64354,-73.97967,Private room,110,1,0
CBG# 4Tiny room w/ huge window/AC,22486,Brooklyn,40.6788,-73.97643,Private room,60,1,20
Penthouse Lofts + Private Terrace!,270590027,Brooklyn,40.70907,-73.95054,Entire home/apt,599,2,1
Room in Private House(Queen Bed) by Montefiore-NYC,11305944,Bronx,40.86789,-73.85999,Private room,63,4,40
Entire 3rd floor of Brownstone at Prospect Park!,107933494,Brooklyn,40.66643,-73.97598,Entire home/apt,165,3,33
Inwood Manhattan everything close!!,91678787,Manhattan,40.86763,-73.91792,Private room,60,3,83
❤️ Charming and Quiet NYC Guestroom ❤️,48983104,Queens,40.7206,-73.87382,Private room,60,1,95
Private room 2nd Fl near C&A line and 15mins JFK,6762657,Brooklyn,40.68287,-73.87295,Private room,42,3,28
Comfy room steps away from Williamsburg nightlife,154339771,Brooklyn,40.71258,-73.95742,Private room,50,2,10
Beautiful big ROOM/Safe&comfortable/ near LG& JFK,169587048,Brooklyn,40.68446,-73.87801,Private room,38,4,10
Cozy 1BD Apartment near Manhattan,6246089,Queens,40.76587,-73.92157,Entire home/apt,125,5,27
"Beautiful, Private 3BR Apt EAST VILLAGE",69891628,Manhattan,40.72838,-73.97943,Entire home/apt,305,2,29
Express to NYC - beautiful 1 bedroom apartment,140039953,Brooklyn,40.62402,-73.91681,Entire home/apt,85,3,31
Spacious bedroom near to subway,79499558,Queens,40.75346,-73.88397,Private room,68,4,22
The Notorious B.N.B. { The Wallace },1177497,Brooklyn,40.68975,-73.96703,Private room,438,1,43
"# 1 B Brooklyn NYC Apt close to metro subway, JFK",125914985,Brooklyn,40.63439,-73.94397,Entire home/apt,150,6,57
Prime Upper West Side family home top floor,1250061,Manhattan,40.79121,-73.96963,Entire home/apt,260,3,82
First Class King Suite Midtown Manhattan | Outdoor Restaurant Terrace,239660813,Manhattan,40.75833,-73.99516,Private room,210,1,0
Spacious furnished 2b1b apt with a big living room,62330502,Bronx,40.89753,-73.87359,Private room,50,1,6
Sweet Quiet Spacious Room Brooklyn,239351588,Brooklyn,40.66835,-73.93112,Private room,75,1,12
Beautiful airy room in nice family home,13649613,Bronx,40.85696,-73.91439,Private room,47,2,122
1 Bedroom within Full Apartment,6753765,Manhattan,40.72422,-73.98465,Shared room,85,2,2
Entire home/apt in Chelsea New York,6216882,Manhattan,40.74119,-74.00234,Entire home/apt,175,3,19
Beautiful new apt in Williamsburg,4829797,Brooklyn,40.70589,-73.94749,Private room,63,7,1
Beautiful Brooklyn brownstone with lots of light,34712280,Brooklyn,40.68606,-73.95832,Entire home/apt,91,2,16
Stylish and Comfortable 3 Bedrooms in Williamsburg,185968630,Brooklyn,40.71115,-73.94371,Entire home/apt,210,3,1
Big & Sunny Brooklyn Room | TV/AC/Private Bath,3734323,Brooklyn,40.6883,-73.91383,Private room,65,5,5
Bright and Beautiful Pre-War Home in Bushwick,17529252,Brooklyn,40.70447,-73.91559,Private room,87,2,1
Private room in Charming Greenpoint,3842134,Brooklyn,40.72561,-73.94745,Private room,52,5,7
Doorman Beautiful Studio / 32nd St & Lexington Ave,1475015,Manhattan,40.74446,-73.98091,Entire home/apt,120,30,0
Master Bedroom  Ideal for 2 - Luxury for 1 !,4937803,Brooklyn,40.6627,-73.95875,Private room,75,5,8
Private room with visit to queens # 6,158540605,Queens,40.69946,-73.89079,Private room,35,1,89
#8 Hotel-Like 1 Bedroom Apartment KINGBed near JFK,263504959,Queens,40.69114,-73.86459,Entire home/apt,48,1,8
"Bright, Renovated 1BR in Brownstone",2605064,Manhattan,40.80654,-73.95019,Entire home/apt,220,3,194
Bright and spacious room in Bushwick,89589630,Brooklyn,40.69629,-73.91351,Private room,50,1,86
Dazzling Room with 2 Beds+ Laundry in Williamsburg,141204556,Brooklyn,40.71013,-73.9637,Private room,109,30,37
Modern East Village Apt - Available Last Minute,447895,Manhattan,40.723,-73.97753,Entire home/apt,112,2,4
Private Rm&Bthrm - 10 min Manhattan,19109608,Queens,40.76273,-73.91642,Private room,95,2,55
"Safe, Cozy, Cute and Cheap",2885147,Queens,40.7246,-73.85744,Entire home/apt,52,2,1
Chelsea studio,48726094,Manhattan,40.75088,-73.99951,Private room,100,2,151
Columbia campus 2 bedrooms apartment,790288,Manhattan,40.808,-73.96643,Entire home/apt,200,1,0
Cozy bright room near Prospect Park,2263722,Brooklyn,40.64945,-73.96108,Private room,56,7,12
Lovely 1BR Harlem apartment,16004068,Manhattan,40.80379,-73.95257,Entire home/apt,105,3,4
"SPACIOUS & CHARMING w/garden 4BR 
walk 2 train",20951849,Brooklyn,40.69138,-73.93217,Entire home/apt,350,1,5
Chic & Sleek Mid-Century Styled Apt,48881330,Brooklyn,40.66589,-73.95103,Entire home/apt,100,3,6
SOHO - Large Studio Apt,11762397,Manhattan,40.72153,-73.99331,Entire home/apt,220,2,146
#1,217293060,Manhattan,40.73432,-73.99686,Entire home/apt,600,31,0
SPRING in the City!! Zen-Style Tranquil Bedroom,919218,Manhattan,40.80606,-73.95061,Private room,86,3,34
Chelsea Studio (King bed + convertible full sofa),50778925,Manhattan,40.74154,-74.00161,Entire home/apt,149,5,6
The Library @ Guacamaya's Nest,19418027,Brooklyn,40.67726,-73.94179,Private room,58,3,24
Unique Lincoln Square 1 BR Apt,58931360,Manhattan,40.77616,-73.98485,Entire home/apt,250,3,6
Heart of the East Village,51835429,Manhattan,40.72597,-73.9838,Private room,90,2,0
Mia Suite East Village-free Street Parking+wifi,116839989,Manhattan,40.73075,-73.98114,Entire home/apt,150,30,59
Large bright friendly bedroom apartment,59407939,Brooklyn,40.60795,-73.98955,Private room,89,1,5
Lovely 1BR in Tree-lined WBurg,509341,Brooklyn,40.71055,-73.95098,Entire home/apt,140,7,13
Classic Loft in Gramercy/Flatiron - Amazing Value,61719199,Manhattan,40.73955,-73.98568,Entire home/apt,275,2,4
Super Apt for Superbowl,1531465,Manhattan,40.74438,-73.97744,Entire home/apt,400,1,0
Charming East Village Apartment,19194060,Manhattan,40.7241,-73.97992,Entire home/apt,600,3,0
1BR SoHo Apt w/ your own private backyard.,96773131,Manhattan,40.72848,-74.00269,Entire home/apt,300,1,8
Beautiful Unique Greenpoint Loft Suite,47554473,Brooklyn,40.72919,-73.94512,Private room,149,3,32
Jazzy condo in Riverdale -fresh grown veggies,2556784,Bronx,40.88757,-73.90522,Entire home/apt,60,1,25
Sunny apartment in the heart of LIC,25705189,Queens,40.74364,-73.95392,Entire home/apt,100,5,0
Location location soho cozy apt heart of NYC,163458740,Manhattan,40.72547,-74.0021,Entire home/apt,190,1,94
Brooklyn's top,3530446,Brooklyn,40.67722,-73.95005,Entire home/apt,155,3,66
Brooklyn Factory Loft Building Queen Studio Room,159091490,Brooklyn,40.67873,-73.98236,Private room,119,1,19
Modern Remodeled 1 bedroom Apartment,210831649,Brooklyn,40.66176,-73.92,Entire home/apt,176,3,0
Furnished quiet clean room,40834217,Queens,40.78223,-73.80724,Private room,35,7,0
Farmhouse Apartment in Williamsburg,320761,Brooklyn,40.71069,-73.95175,Entire home/apt,130,10,49
Lovely Room in East Williamsburg,77792023,Brooklyn,40.70391,-73.92593,Private room,40,2,4
Spacious Studio - 5 Mins from Times Square.,37412692,Manhattan,40.76539,-73.98329,Entire home/apt,169,30,0
Gorgeous big private room/Brooklyn,158191277,Brooklyn,40.6768,-73.95346,Private room,70,5,12
Clean and cozy,85400172,Brooklyn,40.6752,-73.94851,Private room,95,3,1
Marriott Vacation Club Pulse - King Room,19809273,Manhattan,40.75092,-73.98409,Entire home/apt,350,2,0
"Manhattan nyc private room B
15 min F Times Square",57049951,Manhattan,40.81225,-73.95197,Private room,69,2,10
Huge Auditorium/Theatre w/Balcony Seats for Events,13460069,Queens,40.73333,-73.79514,Entire home/apt,500,1,0
Large Lower East Side 1 BDR,40585961,Manhattan,40.72092,-73.98849,Private room,85,1,0
Sunny and Spacious Apartment With Private Terrace!,124046841,Brooklyn,40.67714,-73.96437,Entire home/apt,130,2,0
Cozy bedroom in heart of Whitestone/Flushing,26298732,Queens,40.77401,-73.80169,Private room,89,1,0
Pelham south,228773060,Bronx,40.85398,-73.86451,Private room,25,2,1
BROOKLYN'S HAVEN,9346894,Brooklyn,40.68203,-73.89374,Private room,65,1,75
Room for travel and work,263721921,Queens,40.75728,-73.80072,Private room,70,2,2
"Perfect, Private Bedroom on Prospect Park",9488965,Brooklyn,40.67414,-73.96723,Private room,125,1,0
3 B   GREAT 1BR APT IN NEW YORK CITY,24715671,Manhattan,40.74197,-73.98373,Entire home/apt,209,30,14
Upper East Side entire flat - Close to Subway,14073337,Manhattan,40.77773,-73.95383,Entire home/apt,180,4,9
"Airy Times Sq 1BR w/ Indoor pool, Gym + Doorman by Blueground",107434423,Manhattan,40.76143,-73.98533,Entire home/apt,334,30,0
Cozy Room in Astoria,8783166,Queens,40.76549,-73.92934,Private room,100,3,4
Beauty Brooklyn 2BR close to trains 30+ days only,1410860,Brooklyn,40.68324,-73.95174,Entire home/apt,300,30,67
"Cute, clean and convenient place in , Bed-Stuy.",205952285,Brooklyn,40.6874,-73.95036,Private room,65,2,32
Cozy Room in East Williamsburg!,44347591,Brooklyn,40.7034,-73.9296,Private room,50,2,0
"HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM",312288,Manhattan,40.86648,-73.9263,Private room,75,7,0
Beautiful 1-Bedroom in West Village,11155956,Manhattan,40.73818,-74.00433,Entire home/apt,300,2,0
Unique Private BR in Ridgewood Woodbine 1L-2,244171850,Queens,40.70296,-73.90602,Private room,47,35,0
Minimalistic 1 BR in little Italy/ China town,10146370,Manhattan,40.7152,-73.99947,Entire home/apt,159,6,39
Unique Studio Loft in Brooklyn,47554473,Brooklyn,40.72913,-73.9436,Private room,137,3,39
Cosy room in Brooklyn Apartment,75458749,Brooklyn,40.64026,-73.95347,Private room,45,3,2
Charming TriBeCa Loft - Avail for Summer,194377959,Manhattan,40.72262,-74.00861,Entire home/apt,250,21,0
Doorman 1 Bedroom Furnished LUX5156,16098958,Manhattan,40.79155,-73.97477,Entire home/apt,191,30,0
Beautiful Apartment in Manhattan!!!,56284,Manhattan,40.73961,-73.98074,Entire home/apt,200,7,19
Fully Private Two-Bedroom Duplex House,158566993,Brooklyn,40.64333,-73.92526,Entire home/apt,150,2,4
Cool Astoria Apartment minutes from Manhattan,114596544,Queens,40.76791,-73.92247,Entire home/apt,95,3,19
Urban Oasis II,2522815,Brooklyn,40.66356,-73.99368,Entire home/apt,150,2,0
Spacious and stylish Harlem apartment,237280886,Manhattan,40.82636,-73.94985,Entire home/apt,95,2,0
Charming Brooklyn 1 bedroom,10763733,Brooklyn,40.67499,-73.95729,Entire home/apt,84,2,16
ONE STOP TO TIME SQUARE BEAUTIFUL QUIET STUDIO,64964534,Manhattan,40.74769,-73.9784,Entire home/apt,160,1,141
Cozy 2BR+Sofa in Quiet Part of Popular LES,93039729,Manhattan,40.7193,-73.98405,Entire home/apt,225,1,0
Private Small Room 4,59529529,Manhattan,40.7619,-73.995,Private room,75,1,205
Private Bedroom in MANHATTAN (Free Wifi),124901163,Manhattan,40.8228,-73.94442,Private room,76,5,2
"Spacious Comfy Space, Full of Light",33395500,Brooklyn,40.68307,-73.97981,Private room,55,15,0
Lovely BR w/Access to Everything!,3692257,Brooklyn,40.64423,-73.98019,Private room,49,1,1
Private Room in Spacious Apartment with Patio!,1583742,Brooklyn,40.68503,-73.98232,Private room,50,2,31
Sunny room with private entrance in shared home,16883913,Queens,40.69919,-73.89902,Private room,45,1,0
Chris' Cozy Cave!,69029231,Queens,40.78031,-73.91003,Entire home/apt,95,3,89
1 bedroom within walking distance to Times Sq,57146691,Manhattan,40.75514,-73.96746,Entire home/apt,250,3,0
"Sunny and Spacious in East Village, Alphabet City.",4464764,Manhattan,40.72952,-73.98229,Entire home/apt,125,3,2
"True Skyline View, minutes to Manhattan",12302023,Brooklyn,40.72509,-73.95418,Private room,92,6,48
Stylish Manhattan Bedroom!!,140830391,Manhattan,40.8159,-73.9396,Private room,70,1,4
Charming House in Astoria,10618197,Queens,40.7802,-73.90913,Entire home/apt,150,7,1
Excellent Location! Sunny & Cozy!,4131257,Brooklyn,40.68489,-73.95203,Private room,55,6,7
2 BEDS - ROOF DECK+ LAUNDRY- CLOSE TO METRO!,184090548,Brooklyn,40.7107,-73.95785,Private room,105,2,13
Cozy bright studio flat - Soho/Village,49645950,Manhattan,40.7263,-74.00344,Entire home/apt,189,2,136
UES Jewel-Private Long Term Rental,2205455,Manhattan,40.77761,-73.94606,Private room,90,30,3
"Huge, super-clean and elegant!",225971717,Manhattan,40.8242,-73.9537,Entire home/apt,120,2,4
1 sunny bedroom in Parkchester,189022543,Bronx,40.83688,-73.85584,Private room,80,2,6
Spacious Flat in HeArt of Bushwick!,51276298,Queens,40.70679,-73.91692,Entire home/apt,118,2,153
6 minutes from JFK Private Bedroom/Bathroom,232251881,Queens,40.6667,-73.78469,Private room,100,1,86
Luxury building- 2BR/2BA in Chelsea,438593,Manhattan,40.74391,-73.99582,Entire home/apt,350,1,2
Single Bedroom around Columbia University,195863013,Manhattan,40.80249,-73.96729,Private room,45,3,3
Budge private room F,10384906,Brooklyn,40.63081,-73.99638,Private room,31,1,60
"Nice, cozy and fresh male room on Manhattan III",39528519,Manhattan,40.71112,-73.98691,Shared room,32,14,0
Cozy Spacious Double Bed #2A Near JFK & J Train,62843071,Queens,40.69628,-73.85255,Private room,45,1,141
Studio apartment Midtown East in NY,10563051,Manhattan,40.74811,-73.97298,Entire home/apt,110,15,26
Private Lg Room 15 min to Manhattan,47594947,Queens,40.74271,-73.92493,Private room,74,2,6
Studio - West Village - Unit 1,4422523,Manhattan,40.73598,-74.00505,Entire home/apt,140,30,1
Luxury and comfort,131826530,Bronx,40.88667,-73.91494,Private room,600,2,0
Unique Bushwick one bedroom with private garden,1451269,Brooklyn,40.70234,-73.92439,Entire home/apt,140,5,3
Bunk bed,24000784,Brooklyn,40.64456,-74.01135,Private room,45,1,6
Large 1 bedroom/bathroom w/balcony,18170442,Manhattan,40.7055,-74.00866,Entire home/apt,165,1,0
East Midtown Modern Alcove Studio 3,45595980,Manhattan,40.76049,-73.96621,Entire home/apt,140,30,5
Sun-drenched and Spacious Studio,33646389,Brooklyn,40.67128,-73.95895,Entire home/apt,85,5,1
"Spacious, Bright and Comfortable",7897952,Brooklyn,40.67652,-73.99682,Entire home/apt,132,1,1
Spacious Bushwick Room w/ Window and Central Air,236187116,Brooklyn,40.69757,-73.92611,Private room,65,1,0
Sunlit bright home.,63623329,Brooklyn,40.67832,-73.95128,Private room,60,3,5
Sunny room with private insuite bathroom,22577148,Brooklyn,40.69627,-73.9345,Private room,79,3,37
Private room blocks away from HBO's The Deuce set!,34607061,Manhattan,40.84067,-73.93602,Private room,36,28,4
Home 4 Medical Professionals-St Johns Hospital,26377263,Queens,40.5978,-73.75296,Private room,40,30,0
Putnam Townhome,18007143,Brooklyn,40.68482,-73.95136,Private room,57,2,12
12min to NY & 10min LGA/30min JFK w/Closet&heater,100128949,Queens,40.75539,-73.91311,Private room,39,1,4
"Nice room in large, quiet EV apt",24222,Manhattan,40.72585,-73.97967,Private room,65,5,2
1 bedroom full apartment completely private!,83616984,Queens,40.74598,-73.85683,Entire home/apt,85,7,60
Unique stylish garden apartment,4091348,Brooklyn,40.71241,-73.9653,Entire home/apt,450,4,0
Brownstone in Clinton Hill,2427529,Brooklyn,40.68409,-73.96264,Private room,75,1,0
Fort Greene Jewel,163877894,Brooklyn,40.68933,-73.96879,Entire home/apt,149,29,24
"Luxury Apartment, best of Brooklyn, mins from MH",7760617,Brooklyn,40.69472,-73.98337,Entire home/apt,133,3,2
Penthouse large 1 BR with huge terrace (7C),202757964,Brooklyn,40.71792,-73.96266,Entire home/apt,195,30,0
Central Park Charming Home,197082458,Manhattan,40.7773,-73.97736,Entire home/apt,350,2,9
Spacious 2 bedroom w/ balcony. BrooklynNY NEAR ALL,116754031,Brooklyn,40.63159,-73.92724,Entire home/apt,170,2,3
NYC Marathon 2019 - Near Carnegie Hall - 2 Nights,51151126,Manhattan,40.76579,-73.98049,Private room,600,2,0
HUGE & Sunny Two Bedroom Apartment in Brooklyn,7752638,Brooklyn,40.6417,-74.01892,Private room,95,2,0
Private Room in peaceful town,7989399,Queens,40.73891,-73.92642,Private room,50,3,3
Charming Brooklyn Heights Apartment,3053304,Brooklyn,40.69969,-73.99393,Entire home/apt,125,2,0
Modern Comfort and a View,228864897,Queens,40.74769,-73.93938,Entire home/apt,180,1,0
Prime Williamsburg. Brand new,1356046,Brooklyn,40.71454,-73.9507,Private room,75,3,179
Beautiful One Bedroom in Chelsea,2267508,Manhattan,40.7476,-73.99698,Entire home/apt,139,4,23
Large Greenwich Village 2 Bedroom!,120006972,Manhattan,40.72923,-74.00176,Entire home/apt,250,3,14
"Dog Friendly, 1-Bedroom apt, close to subway",250515297,Brooklyn,40.68501,-73.91884,Entire home/apt,75,2,0
EmpireStateView one bedroom apart,23312516,Queens,40.75697,-73.91847,Entire home/apt,130,3,39
Comfy 1 bedroom in spacious lower east side apt,10013093,Manhattan,40.72412,-73.98667,Private room,84,2,1
Posh Alcove Studio: Everything You Need For NYC!,28159250,Manhattan,40.7385,-73.97945,Entire home/apt,200,2,43
Clean and Stylish Newly Renovated Apartment,115092398,Manhattan,40.81843,-73.94401,Entire home/apt,125,1,78
Sunny Studio Near Central Park,2641574,Manhattan,40.77573,-73.98264,Entire home/apt,215,2,8
LARGE 1BR (CONV 2BR) CROWN HEIGHTS,503800,Brooklyn,40.67473,-73.94494,Entire home/apt,100,90,0
Private Room New York 3 (4f),102466916,Manhattan,40.80577,-73.9448,Private room,55,60,0
Comfortable Private Room in Crown Heights,64213111,Brooklyn,40.66088,-73.94363,Private room,50,2,0
Cozy Room in the Center of Manhattan!,214037223,Manhattan,40.74256,-73.97912,Private room,135,2,35
"Great 1 bedroom, close to subway!",11671329,Brooklyn,40.69982,-73.9249,Private room,49,4,2
"Homey, Peaceful, and Spacious Space",709939,Brooklyn,40.69527,-73.94784,Private room,50,30,4
Tranquility & Privacy in the Concrete Jungle,11167829,Manhattan,40.82794,-73.94163,Private room,50,4,3
Sunny Private Clean Room Downtown - steps2subway,46412380,Manhattan,40.71685,-73.99074,Private room,72,1,43
AWESOME MODERN ROOM IN CHARMING AREA+ SWEET ROOF B,29650513,Brooklyn,40.69363,-73.9607,Private room,90,30,47
Apt with EmpireState view-Subway around the corner,1203500,Brooklyn,40.69046,-73.95167,Entire home/apt,80,2,35
"Heart of Ft Greene, newly renovated w garden patio",218417996,Brooklyn,40.68904,-73.97269,Entire home/apt,210,4,20
Elegant room in Manhattan only for woman,148833266,Manhattan,40.7997,-73.97073,Private room,95,1,6
UPPER WEST SIDE/ 2BED 2BATH / RIVER VIEW,131647128,Manhattan,40.77537,-73.98938,Entire home/apt,300,30,0
Luxury Hudson yards apartment on the High line,224879685,Manhattan,40.75321,-74.00238,Entire home/apt,590,10,0
Brooklyn House at 443 Linden Room 1,216304678,Brooklyn,40.65409,-73.94214,Private room,46,3,13
Luxury Affordable comfort in the Bronx-2 Bedroom!,216456504,Bronx,40.894,-73.84362,Entire home/apt,130,1,11
Cozy sleeping nook in the heart of Brooklyn!,129723592,Brooklyn,40.67404,-73.95616,Private room,50,7,0
Sunny and Beautiful UWS 1BDRM,48091946,Manhattan,40.77775,-73.98169,Entire home/apt,150,2,5
"Sunny, quiet and oh-so-central East Village nest.",1226375,Manhattan,40.72334,-73.9839,Entire home/apt,110,2,29
Upper East Side - Posh NYC Experience,165860505,Manhattan,40.77705,-73.96038,Private room,90,1,4
Home,764688,Brooklyn,40.67649,-73.97113,Entire home/apt,160,7,1