Region,DataYear,ClassGrade,Gender,Ageyears,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Schoolwork_Pressure,Superpower,Handed,Travel_to_School,Travel_time_to_School,Left_Footlength_cm,Longer_Finger_Lefthand,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Watching_TV_Hours,Planned_Education_Level,Favorite_Music
CA,2013,12,Female,16,4,8,Some,Invisibility,Right-Handed,Car,30,23,Ring finger,Yes - broadband connection,Text messaging,500,551,15,20,7,30,20,60,6,Graduate degree,Other
CA,2013,12,Male,16,6,10,A lot,Freeze time,Right-Handed,Car,30,26,Same length,Yes - broadband connection,In person,5,5,10,24,2,8,10,1,0,Graduate degree,Techno/Electronic
TX,2012,11,Male,16,8,10,Some,Freeze time,Right-Handed,Car,5,19.6,Ring finger,Yes - broadband connection,Cell phone,250,252,25,2,15,14,5,16,3,Graduate degree,Rap/Hip hop
WI,2017,8,Male,14,7,9,Some,Freeze time,Right-Handed,Car,2,27,Ring finger,Yes - broadband connection,Internet chat or instant messaging,300,400,6,1,3,12,2,8,1,Less than high school,Rap/Hip hop
TX,2016,12,Female,17,7,12,None,Freeze time,Right-Handed,Bus,20,29,Index finger,Yes - other,"Myspace, Facebook, other social networking sites, or blog",30,30,0,0,4,0,10,2,5,High school,Other
VA,2014,12,Female,17,8,10,Some,Fly,Right-Handed,Car,25,9,Ring finger,Yes - broadband connection,Text messaging,30,40,7,14,21,28,10,3,7,Graduate degree,Rap/Hip hop
MD,2016,6,Male,11,9,11,Some,Fly,Right-Handed,Bus,7,22.5,Ring finger,Yes - broadband connection,Text messaging,5,7,5,5,5,6,1,1,3,Graduate degree,Pop
NC,2011,12,Female,17,7,10,Some,Invisibility,Right-Handed,Car,18,24,Index finger,Yes - broadband connection,In person,80,90,80,6,10,20,4,6,3,Graduate degree,Country
OH,2013,4,Male,9,,9,Some,Super strength,Right-Handed,Bus,25,20,Same length,Yes - broadband connection,Text messaging,10,50,6,3,2,6,0,1,6,Graduate degree,Rap/Hip hop
NC,2013,6,Female,11,8,10,A lot,Invisibility,Right-Handed,Car,30,24,Index finger,Yes - broadband connection,Text messaging,130,135,12,27,60,12,60,70,12,Graduate degree,Country
PA,2017,6,Male,11,9,7,Very little,Telepathy,Right-Handed,Bus,25,22,Ring finger,Yes - broadband connection,In person,0,0,7,5,7,9,5,0,10,Graduate degree,Country
CO,2016,12,Female,17,6,10,Some,Super strength,,Car,40,22,Ring finger,Yes - other,In person,100,100,2,8,1,1,12,13,2,Graduate degree,Other
NY,2017,6,Female,11,7.5,8,Some,Fly,Right-Handed,Rail (Train/Tram/Subway),40,23,Ring finger,Yes - broadband connection,Text messaging,11,12,5,12.5,3,7,1,2,1,Graduate degree,Pop
NE,2017,10,Female,16,3,5,A lot,Freeze time,Right-Handed,Car,20,25,Ring finger,Yes - other,Cell phone,6,178,70,10,5,8,80,40,10,Some college,Other
NY,2017,6,Male,10,5,6,A lot,Super strength,Ambidextrous,Bus,5,2,Same length,Yes - other,Other,0,69,1000,0,123,31,32,23,123,Other,Rap/Hip hop
CA,2017,12,Female,17,8,11,A lot,Freeze time,Right-Handed,Car,15,25,Same length,Yes - broadband connection,Text messaging,50,40,2,40,1,0,7,3,3,Graduate degree,Pop
TX,2014,12,Male,18,6,6,None,Super strength,Right-Handed,Car,15,11,Same length,Yes - other,In person,10,10,3,2,1,3,1,1,3.5,Undergraduate degree,Rap/Hip hop
WI,2018,12,Female,17,7,9,Some,Telepathy,Ambidextrous,Car,12,,Ring finger,Yes - other,Cell phone,8,8,9,5,5,15,4,3,4,Graduate degree,Country
MA,2017,8,Female,13,7,12,A lot,Super strength,Right-Handed,Car,5,27,Same length,Yes - broadband connection,Internet chat or instant messaging,20,35,16,4,2,3,12,12,6,Graduate degree,Pop
NY,2019,12,Female,18,7,9,Some,Freeze time,Ambidextrous,Rail (Train/Tram/Subway),50,26.5,Same length,Yes - broadband connection,In person,10,24,5,17.5,14,2,4,3,4,Other,Classical
NY,2011,12,Male,17,6,9,A lot,Super strength,Right-Handed,Car,10,25,Ring finger,Yes - broadband connection,Text messaging,100,200,5,5,2,4,4,3,0,Graduate degree,Rap/Hip hop
OK,2016,12,Male,16,7,7,Some,Freeze time,Right-Handed,Bicycle,11,26,Index finger,Yes - other,"Myspace, Facebook, other social networking sites, or blog",21,28,2,1,8,9,1,1,3,Graduate degree,Country
OH,2013,4,Female,9,9,8,A lot,Telepathy,Right-Handed,Car,5,20,Ring finger,Yes - other,Internet chat or instant messaging,6,13,8,3,2,2,1,3,1,Undergraduate degree,Rap/Hip hop
OH,2012,12,Female,18,9,12,Very little,Telepathy,Right-Handed,Car,5,24,Ring finger,Yes - broadband connection,In person,10,10,,,,,,,,Graduate degree,
PA,2017,12,Female,17,7,5,A lot,Invisibility,Right-Handed,Car,10,24.3,Index finger,Yes - other,Cell phone,45,100,20,20,15,16,5,10,15,Graduate degree,Rap/Hip hop
IA,2018,12,Male,17,6,8,Some,Freeze time,Right-Handed,Car,7,25,Ring finger,Yes - broadband connection,Internet chat or instant messaging,0,0,12,0,2,14,7,0,4,Undergraduate degree,Other
GA,2013,6,Female,12,8,12,A lot,Invisibility,Right-Handed,Bus,15,24,Same length,Yes - broadband connection,Text messaging,150,125,7,3,8,15,30,45,69,Some college,Pop
NC,2016,11,Male,16,6,8,A lot,Telepathy,Right-Handed,Bus,8,25,Index finger,Yes - broadband connection,Internet chat or instant messaging,25,25,1,5,2,12,1,2,1,Graduate degree,Jazz
CA,2016,12,Male,16,7,8,Some,Fly,Right-Handed,Car,20,23,Index finger,Yes - broadband connection,Text messaging,100,80,8,10,7,6,7,7,3,Some college,Gospel
TX,2012,12,Male,18,8,9,A lot,Fly,Right-Handed,Car,4,25,Ring finger,Yes - other,In person,3,7,5,24,18,8,2,2,4,Undergraduate degree,Country
CA,2013,12,Male,15,7,8,Some,Freeze time,Right-Handed,Bicycle,8,26,Ring finger,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",0,0,2,35,5,1,6,0,1,Graduate degree,Techno/Electronic
CA,2015,6,Female,10,8,13,Very little,Invisibility,Right-Handed,Car,2,26,Index finger,Yes - other,Text messaging,1,1,2,30,4,0,29,22,30,High school,Country
MI,2016,12,Female,17,6,9,A lot,Telepathy,Right-Handed,Car,6,20,Index finger,Yes - other,Text messaging,40,80,4,8,2,10,4,2,5,Graduate degree,Rap/Hip hop
VA,2011,12,Male,16,5,10,A lot,Freeze time,Right-Handed,Car,12,26,Ring finger,Yes - broadband connection,Internet chat or instant messaging,1,2,5,15,3,8,12,2,20,Other,Rap/Hip hop
CT,2017,12,Male,18,4,5,Very little,Freeze time,Right-Handed,Bus,10,,,Yes - other,Text messaging,3,3,0,1,6,5,3,4,8,Undergraduate degree,Rap/Hip hop
NY,2018,12,Male,17,7,9,Very little,Freeze time,Right-Handed,Rail (Train/Tram/Subway),50,26,Ring finger,Yes - broadband connection,Internet chat or instant messaging,20,20,100,10,60,5,10,1,0,Graduate degree,Other
CA,2018,6,Female,12,5,4,A lot,Invisibility,Right-Handed,Bicycle,5,21,Ring finger,Yes - broadband connection,Text messaging,16,19,13,1,2,3,24,8,8,Undergraduate degree,Techno/Electronic
OH,2018,12,Male,18,8,9,Some,Fly,Right-Handed,,5,27,Ring finger,Yes - broadband connection,Text messaging,41,40,20,2,5,20,10,3,8,Graduate degree,Rap/Hip hop
GA,2013,6,Male,11,7,5,Some,Invisibility,Right-Handed,Bus,5,27,Ring finger,Yes - other,Cell phone,0,0,6,0,4,6,0,0,11,Graduate degree,Reggae
GA,2018,11,Female,16,7,8,Some,Telepathy,Right-Handed,Car,15,21,Same length,Yes - broadband connection,Text messaging,60,80,6,20,0,0,12,8,4,Graduate degree,Pop
MA,2016,8,Female,13,6,3,Some,Telepathy,Right-Handed,Bus,6,23,Index finger,Yes - other,In person,86,95,45,1.5,0,0,30,130,150,Graduate degree,Pop
CA,2017,12,Male,16,7,8,Some,Freeze time,Right-Handed,Car,15,26.5,Ring finger,Yes - other,In person,10,10,3,14,14,6,5,4,1,Graduate degree,Pop
NY,2016,11,Male,17,8,10,A lot,Telepathy,Left-Handed,Car,10,28,Ring finger,Yes - broadband connection,Cell phone,15,20,4,10,10,15,1,1,10,Graduate degree,Country
SC,2012,12,Male,17,6,3,Very little,Super strength,Right-Handed,Bus,45,25,Index finger,No internet connection,Cell phone,42,53,3,1,2,3,1,1,2,Some college,Rap/Hip hop
SC,2015,11,Female,17,6,8,A lot,Invisibility,Right-Handed,Car,15,22,Same length,Yes - other,Text messaging,516,584,9,9,22,15,19,20,3,Graduate degree,Other
OH,2013,11,Female,18,7,11,A lot,Telepathy,Right-Handed,Car,5,27,Ring finger,Yes - broadband connection,Text messaging,70,70,7,21,7,3,4,8,5,Graduate degree,Pop
WI,2015,7,Female,13,9,10,Some,Fly,Ambidextrous,Car,3,24,Index finger,Yes - broadband connection,In person,2,5,6,5,9,7,0,0.25,7,Other,Pop
KY,2019,7,Male,13,8,5,Some,Fly,Right-Handed,Bus,10,23.36,Ring finger,Yes - other,Cell phone,0,0,9,1,4,6,3,2,2,Some college,Rap/Hip hop
CA,2018,12,Female,17,6,8,Some,Telepathy,Right-Handed,Car,5,25,Ring finger,Yes - broadband connection,Text messaging,30,40,7,10,8,2,5,5,3,Other,Rhythm and blues (R&B)
OK,2013,10,Female,15,7,9,Very little,Freeze time,Right-Handed,Car,15,24,Same length,Yes - broadband connection,Cell phone,30,40,20,2,5,15,10,4,3,Graduate degree,Pop
SC,2018,11,Female,17,8,7,A lot,Fly,Right-Handed,Car,1,24,Index finger,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",18,18,119,14,7,56,56,7,25,Undergraduate degree,Other
ID,2018,12,Female,20,6,6,A lot,Telepathy,Right-Handed,Walk,2,,Index finger,Yes - other,Text messaging,20,20,100,120,90,70,10,30,60,Undergraduate degree,Gospel
FL,2016,11,Male,16,5,10,A lot,Fly,Ambidextrous,Car,10,27,Ring finger,Yes - broadband connection,Text messaging,0,0,6,8,4,12,1,4,2,Undergraduate degree,Rap/Hip hop
OR,2016,12,Male,17,5,7,Some,Freeze time,Right-Handed,Skateboard/Scooter/Rollerblade,5,25.5,Ring finger,Yes - broadband connection,Internet chat or instant messaging,20,15,35,2,1,1,4,4,3,Graduate degree,Other
MO,2016,12,Male,17,7,10,Very little,,Right-Handed,Car,4,27,Ring finger,Yes - other,Text messaging,1,3,8,0,2,0,10,1,10,Graduate degree,Rap/Hip hop
ID,2017,12,Male,16,7,10.5,Some,Telepathy,Right-Handed,Car,8,32,Ring finger,Yes - other,"Myspace, Facebook, other social networking sites, or blog",10,8,6,4,72,4,100,90,40,Graduate degree,Rap/Hip hop
MI,2018,9,Female,15,6,9,Some,Telepathy,Right-Handed,Car,60,20,Ring finger,,Text messaging,20,26,2,24,10,2,3,3,2,Graduate degree,Other
TX,2017,12,Male,17,8,12,Some,Freeze time,Right-Handed,Car,5,24,Ring finger,Yes - broadband connection,Text messaging,50,60,4,5,4,2,5,5,3,Graduate degree,Rock and roll
NY,2016,11,Male,16,6,8,Some,Fly,Right-Handed,Car,2,34,Ring finger,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",5,5,5,14,5,22,9,0.5,4,Graduate degree,Rap/Hip hop
CA,2019,9,Female,15,4,6,A lot,Freeze time,Left-Handed,Car,11,21,Ring finger,Yes - broadband connection,Text messaging,150,300,2,60,3,12,7,86,7,Graduate degree,Rhythm and blues (R&B)
GA,2013,11,Male,16,8,10,A lot,Invisibility,Right-Handed,Car,20,29,Ring finger,Yes - other,Cell phone,7,6,10,15,15,30,30,25,40,Graduate degree,Rap/Hip hop
MO,2018,11,Male,16,,,None,Telepathy,Right-Handed,Car,2,29,Index finger,Yes - broadband connection,Text messaging,5,5,100,50,30,130,58,30,0,High school,Rap/Hip hop
CA,2017,7,Female,12,7,9,A lot,Invisibility,Right-Handed,Car,10,10,Ring finger,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",10,15,3,5,0,8,6,2,2,Some college,Other
PA,2015,6,Male,11,10,9,Some,Fly,Right-Handed,Bus,10,22,Ring finger,Yes - broadband connection,In person,0,0,5,2,3,6,0,0,17,Undergraduate degree,Other
SC,2011,12,Male,17,7,8,A lot,Telepathy,Right-Handed,Car,5,27,Index finger,Yes - broadband connection,Text messaging,50,50,16,12,10,15,3,2,6,Graduate degree,Pop
WI,2015,7,Male,12,7,8,Very little,Fly,Right-Handed,Bus,32,20,Ring finger,Yes - other,Text messaging,0,0,7,2,4,3,3,2,3,Some college,Country
OH,2016,12,Female,18,9,12,A lot,Freeze time,Right-Handed,Car,15,23,Ring finger,Yes - other,Text messaging,40,45,11,5,2,10,8,7,10,Graduate degree,Punk rock
MD,2014,8,Female,13,9,5,Some,Telepathy,Right-Handed,Bus,1,22,Same length,Yes - other,Text messaging,15,13,8,5,7,9,2,8,2,Graduate degree,Pop
RI,2016,12,Female,17,4,6,A lot,Invisibility,Ambidextrous,Bus,60,23,Same length,Yes - broadband connection,Text messaging,15,20,2,5,1,0,10,5,10,Graduate degree,Rap/Hip hop
NC,2016,11,Female,17,8,9,Some,Freeze time,Right-Handed,Car,5,24,Ring finger,Yes - broadband connection,Text messaging,8,10,8,15,20,7,0,1,0,Undergraduate degree,Classical
NE,2018,12,Female,16,8,11,Very little,Invisibility,Right-Handed,Car,6,24,Ring finger,Yes - other,Text messaging,21,9,2,3,10,0,8,3,5,Graduate degree,Rap/Hip hop
CO,2015,12,Male,17,7,10,A lot,Freeze time,Right-Handed,Car,35,22,Ring finger,Yes - broadband connection,Text messaging,60,50,2,20,4,10,1,6,2,Graduate degree,Country
CA,2013,12,Female,16,7,8,Some,Fly,Ambidextrous,Car,7,22,Same length,Yes - broadband connection,Text messaging,66,180,50,13,7,12,70,70,14,Graduate degree,Rhythm and blues (R&B)
NC,2017,12,Male,17,7,8,Very little,Super strength,Left-Handed,Car,7,24,Same length,Yes - broadband connection,In person,3,3,5,3,2,2,1,1,2,Graduate degree,Pop
CA,2011,12,Male,17,7,10,A lot,Telepathy,Right-Handed,Car,15,28,Ring finger,Yes - broadband connection,Text messaging,250,250,6,10,5,2,10,4,5,Undergraduate degree,Techno/Electronic
CA,2018,12,Male,17,6,9,A lot,Freeze time,Ambidextrous,Car,6,26.67,Ring finger,Yes - broadband connection,Text messaging,70,102,15,3,2,12,15,18,0,Graduate degree,Gospel
CO,2015,12,Male,17,6,8,Some,Telepathy,Ambidextrous,Car,12,25,Ring finger,,Cell phone,9,10,20,10,2,8,1,1,6,Graduate degree,Pop
CA,2015,6,Female,11,9,11,Very little,Fly,Right-Handed,Bicycle,15,127,Index finger,Yes - broadband connection,E-mail,0,0,35,15,10,5,0,0.2,2,Some college,Pop
KS,2011,12,Female,17,7,6,A lot,Freeze time,Right-Handed,Bus,23,26,Index finger,Yes - broadband connection,Internet chat or instant messaging,3,2,30,2,1,0,2,30,5,Undergraduate degree,Other
CT,2015,6,Female,12,9,11,Very little,Fly,Right-Handed,Car,,26,Ring finger,Yes - broadband connection,Text messaging,3,5,5,7,21,28,15,3,21,Graduate degree,Rap/Hip hop
WI,2015,7,Male,12,7,2,Very little,Invisibility,Right-Handed,Skateboard/Scooter/Rollerblade,5,25,Ring finger,Yes - other,Text messaging,5,3,10,1,5,10,5,10,3,Graduate degree,Rock and roll
CA,2017,7,Male,12,10,11,Very little,Freeze time,Right-Handed,Bicycle,4,24,Ring finger,Yes - broadband connection,In person,1,1,2,3,2,11,0,1,1,Some college,Pop
OH,2018,12,Female,17,5,9,A lot,Telepathy,Left-Handed,Car,7,26,Ring finger,Yes - other,Cell phone,30,30,12,30,10,1,10,10,30,Other,Rhythm and blues (R&B)
CA,2011,6,Female,11,10,11,Very little,Telepathy,Right-Handed,Bus,15,25,Ring finger,Yes - broadband connection,E-mail,0,0,5,3,11,7,1,3,5,Graduate degree,Rap/Hip hop
OH,2016,4,Male,10,10,8,None,Super strength,Right-Handed,Car,25,23,Ring finger,Yes - other,Text messaging,6,8,17,13,12,12,12,12,12,Other,Rap/Hip hop
VA,2016,12,Male,17,7,7,Some,Telepathy,Ambidextrous,Car,8,31,Ring finger,Yes - broadband connection,E-mail,1000,2,2,7,4,3,3,2,4,High school,Reggae
OK,2018,12,Female,17,6,8,Some,Telepathy,Left-Handed,Car,15,23,Same length,Yes - other,Internet chat or instant messaging,100,200,,30,4,0,40,20,3,Undergraduate degree,Rhythm and blues (R&B)
AK,2015,11,Male,17,5,8,Very little,Telepathy,Right-Handed,Car,10,24,Ring finger,Yes - broadband connection,Text messaging,200,190,2,5,6,1,1,12,2,Graduate degree,Rap/Hip hop
MI,2019,9,Female,15,3,3,Some,Invisibility,Right-Handed,Bus,,,Index finger,Yes - other,Other,135,167,0,1,1,4,10,10,5,Other,Rap/Hip hop
SC,2015,11,Female,17,8,9,Some,Freeze time,Left-Handed,Car,10,22,Index finger,Yes - other,Text messaging,150,250,5,2,7,4,4,8,15,Graduate degree,Country
OH,2017,7,Female,12,9,10,Some,Telepathy,Right-Handed,Bus,10,25,Ring finger,No internet connection,Text messaging,100,100,5,20,24,5,20,30,10,Graduate degree,
IA,2018,8,Female,13,8,6,Some,Fly,Right-Handed,Car,4,25,Same length,Yes - broadband connection,In person,70,50,2,3,2,4,2,2,1,Graduate degree,Country
NY,2011,5,Male,11,8,10,Some,Invisibility,Right-Handed,Bus,20,22,Index finger,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",20,20,4,3,4,7,4,2,6,Graduate degree,Rap/Hip hop
OH,2016,12,Male,19,8,10,A lot,Invisibility,Right-Handed,Car,6,8,Ring finger,Yes - broadband connection,Internet chat or instant messaging,5,5,1,0.5,1,2,4,1,5,Graduate degree,Country
SC,2012,11,Male,16,9,11,Some,Fly,Right-Handed,Car,7,27,Same length,Yes - broadband connection,Text messaging,25,30,10,2,4,8,1,2,2,Graduate degree,Country
GA,2018,9,Male,16,5,10,Very little,Fly,Left-Handed,Bus,30,10,Ring finger,Yes - dial-up connection,In person,50,100,1,1,1,4,0,3,5,Some college,Rap/Hip hop
NJ,2017,12,Male,17,7,8,A lot,Freeze time,Right-Handed,Walk,15,24,Ring finger,Yes - broadband connection,Text messaging,15,20,5,21,10,7,2,1,0,Graduate degree,Techno/Electronic
MO,2018,7,Female,12,8,9,Very little,Telepathy,Right-Handed,Car,10,24,Ring finger,Yes - other,"Myspace, Facebook, other social networking sites, or blog",20,16,10,1,9,4,12,18,3,Graduate degree,Country
CA,2015,6,Male,12,6,8,A lot,Invisibility,Right-Handed,Car,3,23,Same length,Yes - broadband connection,In person,0,1,3,2,4,1,1,1,1.2,Other,Other
TX,2011,12,Female,16,8,12,A lot,Freeze time,Right-Handed,Bus,30,23,Ring finger,Yes - broadband connection,Text messaging,8,10,10,27,60,1,5,0,6,Graduate degree,Pop
CA,2018,12,Male,18,8,10,A lot,Freeze time,Right-Handed,Car,15,29,Same length,Yes - broadband connection,Text messaging,10,100,5,10,3,12,3,2,5,Graduate degree,Pop
WI,2017,8,Male,14,9,8,A lot,,Right-Handed,Bus,10,20,Ring finger,Yes - broadband connection,Text messaging,150,80,20,3,10,20,1,4,19,Some college,Rap/Hip hop
CA,2016,12,Female,17,7,10,A lot,Telepathy,Left-Handed,Car,7,21.5,Same length,Yes - broadband connection,Cell phone,300,150,10,5,125,1,30,145,100,Graduate degree,Rap/Hip hop
AR,2018,7,Male,13,8,2,Some,,Right-Handed,Car,6,24,Index finger,Yes - broadband connection,Cell phone,2,16,1,6,8,10,2,9,11,Other,
NC,2018,11,Female,17,6,9,A lot,Fly,Right-Handed,Car,9,23,Ring finger,Yes - broadband connection,Text messaging,70,70,20,35,10,10,5,10,2,Graduate degree,Rap/Hip hop
RI,2015,12,Female,18,9,7,A lot,Fly,Right-Handed,Bus,20,24,Index finger,Yes - broadband connection,Cell phone,11,20,10,21,5,2,10,30,20,Graduate degree,Rap/Hip hop
NJ,2018,11,Male,16,7,10,Some,Freeze time,Right-Handed,Car,5,28,Ring finger,Yes - other,Text messaging,4,10,15,2,8,14,30,2,20,Graduate degree,Punk rock
NY,2016,12,Female,17,6,10,Some,Fly,Right-Handed,Rail (Train/Tram/Subway),60,23,Index finger,Yes - other,Cell phone,3,6,10,7,4,2,3,1,20,Graduate degree,Jazz
SC,2015,11,Female,17,6,10,Some,Invisibility,Right-Handed,Car,5,88,Ring finger,Yes - other,Text messaging,250,300,10,3,5,7,70,70,4,Graduate degree,Rap/Hip hop