"","Survived","Age"
"1",1,29
"2",0,2
"3",0,30
"4",0,25
"5",1,0.92
"6",1,47
"7",1,63
"8",0,39
"9",1,58
"10",0,71
"11",0,47
"12",1,19
"13",1,NA
"14",1,NA
"15",0,NA
"16",1,50
"17",0,24
"18",0,36
"19",1,37
"20",1,47
"21",1,26
"22",0,25
"23",1,25
"24",1,19
"25",1,28
"26",0,45
"27",1,39
"28",1,30
"29",1,58
"30",0,NA
"31",1,45
"32",1,22
"33",1,NA
"34",0,41
"35",0,48
"36",0,NA
"37",1,44
"38",1,59
"39",1,60
"40",0,45
"41",1,NA
"42",1,53
"43",1,58
"44",1,36
"45",0,33
"46",0,NA
"47",0,NA
"48",1,36
"49",1,36
"50",1,14
"51",1,11
"52",0,49
"53",1,NA
"54",0,36
"55",1,NA
"56",0,46
"57",1,47
"58",1,27
"59",1,31
"60",1,NA
"61",1,NA
"62",1,NA
"63",0,NA
"64",0,27
"65",1,26
"66",0,NA
"67",0,NA
"68",1,64
"69",0,37
"70",1,39
"71",1,55
"72",0,NA
"73",0,70
"74",1,69
"75",1,36
"76",0,39
"77",1,38
"78",1,NA
"79",1,27
"80",0,31
"81",1,27
"82",1,NA
"83",1,31
"84",1,17
"85",1,NA
"86",1,NA
"87",1,4
"88",1,27
"89",0,50
"90",1,48
"91",1,49
"92",1,48
"93",0,39
"94",1,23
"95",1,53
"96",0,36
"97",1,NA
"98",1,NA
"99",0,30
"100",1,24
"101",0,19
"102",1,28
"103",1,23
"104",0,64
"105",1,60
"106",0,NA
"107",1,49
"108",1,NA
"109",1,44
"110",1,22
"111",1,60
"112",1,48
"113",0,37
"114",1,35
"115",0,47
"116",1,22
"117",1,45
"118",1,49
"119",1,NA
"120",0,71
"121",1,54
"122",0,38
"123",1,19
"124",1,58
"125",1,45
"126",1,23
"127",0,46
"128",1,25
"129",1,21
"130",1,48
"131",1,49
"132",0,45
"133",1,36
"134",1,NA
"135",0,55
"136",1,52
"137",1,24
"138",0,NA
"139",0,NA
"140",0,NA
"141",1,16
"142",1,44
"143",1,51
"144",0,42
"145",1,35
"146",1,35
"147",1,38
"148",1,35
"149",0,NA
"150",0,50
"151",1,49
"152",0,46
"153",0,NA
"154",0,58
"155",0,41
"156",1,NA
"157",1,42
"158",1,40
"159",0,NA
"160",1,NA
"161",0,NA
"162",0,42
"163",1,55
"164",1,50
"165",1,16
"166",0,NA
"167",0,29
"168",1,21
"169",0,30
"170",1,15
"171",0,30
"172",1,NA
"173",0,NA
"174",1,NA
"175",0,46
"176",0,54
"177",1,36
"178",0,28
"179",1,NA
"180",0,65
"181",1,33
"182",0,44
"183",1,37
"184",1,NA
"185",0,55
"186",0,47
"187",0,36
"188",0,58
"189",1,31
"190",1,23
"191",1,19
"192",0,64
"193",1,NA
"194",0,64
"195",1,22
"196",0,28
"197",0,NA
"198",0,NA
"199",0,22
"200",0,NA
"201",1,NA
"202",0,18
"203",1,17
"204",1,52
"205",0,46
"206",1,56
"207",0,NA
"208",1,NA
"209",1,43
"210",0,31
"211",1,NA
"212",0,NA
"213",1,33
"214",0,NA
"215",1,27
"216",0,55
"217",1,54
"218",0,NA
"219",0,61
"220",1,48
"221",1,18
"222",1,13
"223",1,21
"224",1,NA
"225",1,NA
"226",1,NA
"227",1,34
"228",1,40
"229",1,36
"230",0,50
"231",1,39
"232",1,56
"233",1,28
"234",0,56
"235",0,56
"236",0,24
"237",1,18
"238",0,NA
"239",1,24
"240",1,23
"241",1,45
"242",1,40
"243",1,6
"244",0,57
"245",1,NA
"246",1,32
"247",0,62
"248",1,54
"249",1,43
"250",1,52
"251",0,NA
"252",1,62
"253",0,67
"254",0,63
"255",0,61
"256",1,46
"257",0,52
"258",1,39
"259",1,18
"260",1,48
"261",1,NA
"262",0,49
"263",1,39
"264",1,17
"265",0,46
"266",1,NA
"267",1,31
"268",0,NA
"269",0,61
"270",0,47
"271",0,64
"272",1,60
"273",0,60
"274",1,55
"275",0,54
"276",0,21
"277",0,57
"278",1,45
"279",1,31
"280",0,50
"281",1,50
"282",0,27
"283",1,20
"284",0,51
"285",0,NA
"286",1,21
"287",1,NA
"288",0,NA
"289",1,36
"290",1,NA
"291",1,NA
"292",1,NA
"293",1,NA
"294",1,NA
"295",1,NA
"296",1,NA
"297",1,NA
"298",1,NA
"299",1,NA
"300",0,NA
"301",0,NA
"302",1,NA
"303",0,NA
"304",1,NA
"305",0,NA
"306",0,NA
"307",0,40
"308",0,NA
"309",1,NA
"310",0,32
"311",1,NA
"312",1,NA
"313",0,NA
"314",1,NA
"315",0,NA
"316",1,NA
"317",0,33
"318",0,NA
"319",1,NA
"320",0,NA
"321",0,NA
"322",1,NA
"323",0,30
"324",1,28
"325",0,18
"326",0,NA
"327",0,34
"328",1,32
"329",0,57
"330",0,18
"331",0,23
"332",1,36
"333",0,28
"334",0,51
"335",1,32
"336",1,19
"337",0,28
"338",1,36
"339",1,4
"340",1,1
"341",1,12
"342",1,34
"343",1,19
"344",0,23
"345",0,26
"346",0,NA
"347",0,27
"348",1,15
"349",0,45
"350",1,40
"351",1,20
"352",0,25
"353",1,36
"354",0,25
"355",0,NA
"356",1,42
"357",1,26
"358",1,26
"359",1,0.83
"360",1,31
"361",0,NA
"362",0,19
"363",0,54
"364",0,44
"365",0,52
"366",0,30
"367",0,30
"368",1,NA
"369",1,NA
"370",0,29
"371",1,NA
"372",0,29
"373",0,27
"374",1,24
"375",0,35
"376",1,31
"377",1,8
"378",0,22
"379",0,30
"380",0,NA
"381",0,20
"382",0,NA
"383",0,21
"384",1,49
"385",1,8
"386",1,28
"387",0,18
"388",0,NA
"389",0,28
"390",1,22
"391",0,25
"392",0,18
"393",1,32
"394",1,18
"395",0,NA
"396",0,42
"397",1,34
"398",1,8
"399",1,NA
"400",1,NA
"401",0,23
"402",0,21
"403",0,19
"404",0,NA
"405",1,NA
"406",0,NA
"407",0,38
"408",0,NA
"409",0,38
"410",0,35
"411",0,35
"412",0,38
"413",1,24
"414",0,16
"415",0,26
"416",0,45
"417",0,24
"418",0,21
"419",0,22
"420",0,NA
"421",0,34
"422",0,30
"423",0,50
"424",0,30
"425",1,23
"426",1,1
"427",0,44
"428",0,28
"429",1,6
"430",1,30
"431",0,NA
"432",0,43
"433",1,45
"434",1,7
"435",1,24
"436",1,24
"437",0,49
"438",1,48
"439",1,NA
"440",0,34
"441",0,32
"442",0,21
"443",0,18
"444",1,53
"445",0,23
"446",1,21
"447",0,NA
"448",0,52
"449",0,42
"450",1,36
"451",0,21
"452",1,41
"453",0,NA
"454",0,NA
"455",0,33
"456",1,17
"457",0,NA
"458",1,NA
"459",0,NA
"460",0,NA
"461",0,NA
"462",0,NA
"463",1,23
"464",0,34
"465",1,NA
"466",0,22
"467",0,NA
"468",1,NA
"469",1,45
"470",0,NA
"471",0,NA
"472",0,31
"473",0,30
"474",0,26
"475",0,NA
"476",1,34
"477",0,26
"478",1,22
"479",1,1
"480",1,3
"481",1,NA
"482",1,NA
"483",0,NA
"484",0,25
"485",0,NA
"486",0,48
"487",1,NA
"488",0,57
"489",0,NA
"490",0,NA
"491",1,NA
"492",1,2
"493",0,NA
"494",0,27
"495",1,19
"496",0,30
"497",0,20
"498",0,45
"499",0,NA
"500",0,46
"501",1,41
"502",1,13
"503",1,19
"504",0,30
"505",0,48
"506",0,71
"507",0,54
"508",0,NA
"509",0,NA
"510",0,64
"511",0,32
"512",1,18
"513",1,2
"514",0,32
"515",1,3
"516",0,26
"517",0,19
"518",0,NA
"519",1,20
"520",1,29
"521",0,39
"522",1,22
"523",1,NA
"524",0,24
"525",1,NA
"526",0,28
"527",0,NA
"528",1,50
"529",0,20
"530",0,40
"531",1,42
"532",0,21
"533",1,32
"534",0,34
"535",1,NA
"536",0,NA
"537",1,33
"538",1,2
"539",1,8
"540",0,36
"541",0,34
"542",1,30
"543",1,28
"544",0,23
"545",1,0.8
"546",1,25
"547",1,3
"548",1,50
"549",0,NA
"550",1,21
"551",0,NA
"552",0,NA
"553",1,25
"554",1,18
"555",1,20
"556",1,30
"557",0,59
"558",1,30
"559",0,35
"560",0,22
"561",1,NA
"562",0,25
"563",0,41
"564",0,25
"565",0,14
"566",1,50
"567",0,22
"568",1,NA
"569",1,27
"570",0,29
"571",0,27
"572",0,30
"573",0,22
"574",1,35
"575",0,30
"576",1,28
"577",0,23
"578",0,NA
"579",1,12
"580",1,40
"581",1,36
"582",0,28
"583",1,32
"584",1,29
"585",1,4
"586",1,2
"587",1,NA
"588",1,NA
"589",0,36
"590",1,33
"591",0,NA
"592",0,NA
"593",0,NA
"594",1,32
"595",1,NA
"596",1,NA
"597",1,26
"598",0,NA
"599",0,30
"600",1,24
"601",0,NA
"602",0,18
"603",0,42
"604",0,13
"605",0,16
"606",1,35
"607",1,16
"608",1,25
"609",1,18
"610",1,20
"611",0,30
"612",0,26
"613",0,40
"614",0,24
"615",0,41
"616",1,18
"617",1,0.83
"618",0,23
"619",0,20
"620",0,25
"621",0,35
"622",0,17
"623",0,32
"624",0,20
"625",0,39
"626",0,39
"627",0,6
"628",0,2
"629",1,17
"630",0,38
"631",0,9
"632",0,26
"633",0,11
"634",0,4
"635",0,20
"636",0,26
"637",0,25
"638",0,18
"639",0,24
"640",0,35
"641",0,40
"642",1,38
"643",0,5
"644",0,9
"645",1,3
"646",0,13
"647",1,23
"648",1,5
"649",0,NA
"650",1,45
"651",0,23
"652",0,17
"653",0,27
"654",0,23
"655",0,20
"656",0,32
"657",1,33
"658",1,3
"659",1,NA
"660",1,NA
"661",1,NA
"662",1,18
"663",0,40
"664",0,26
"665",1,15
"666",0,45
"667",0,18
"668",0,27
"669",0,22
"670",0,19
"671",0,26
"672",0,22
"673",0,20
"674",1,32
"675",0,21
"676",0,18
"677",0,26
"678",0,6
"679",0,NA
"680",0,NA
"681",0,9
"682",0,40
"683",0,32
"684",0,NA
"685",0,26
"686",1,18
"687",0,20
"688",0,NA
"689",0,29
"690",0,22
"691",0,22
"692",0,35
"693",1,21
"694",0,20
"695",0,19
"696",0,18
"697",0,18
"698",0,38
"699",0,NA
"700",0,30
"701",0,17
"702",0,21
"703",0,21
"704",0,21
"705",0,NA
"706",0,NA
"707",0,24
"708",0,33
"709",0,33
"710",0,28
"711",1,16
"712",0,37
"713",0,28
"714",1,NA
"715",0,24
"716",0,21
"717",0,NA
"718",0,32
"719",0,29
"720",0,26
"721",0,18
"722",0,20
"723",1,19
"724",0,24
"725",0,24
"726",0,36
"727",0,31
"728",0,31
"729",0,30
"730",1,22
"731",0,NA
"732",0,43
"733",0,35
"734",0,27
"735",0,19
"736",0,30
"737",1,36
"738",1,3
"739",1,9
"740",0,59
"741",0,19
"742",0,44
"743",1,17
"744",0,NA
"745",1,45
"746",0,22
"747",0,19
"748",1,29
"749",1,30
"750",0,34
"751",0,28
"752",0,0.33
"753",0,27
"754",0,25
"755",0,24
"756",0,22
"757",0,21
"758",0,17
"759",0,NA
"760",1,NA
"761",0,26
"762",1,33
"763",1,1
"764",1,0.17
"765",0,25
"766",1,36
"767",1,36
"768",1,30
"769",0,NA
"770",0,23
"771",0,26
"772",1,19
"773",0,65
"774",0,NA
"775",0,42
"776",0,43
"777",0,32
"778",1,19
"779",1,30
"780",0,24
"781",1,23
"782",0,NA
"783",1,24
"784",1,24
"785",0,23
"786",1,22
"787",0,NA
"788",0,18
"789",0,16
"790",0,45
"791",0,NA
"792",0,NA
"793",0,NA
"794",0,47
"795",1,5
"796",0,NA
"797",0,NA
"798",0,NA
"799",1,NA
"800",0,NA
"801",0,NA
"802",0,NA
"803",0,NA
"804",0,NA
"805",1,NA
"806",0,NA
"807",0,21
"808",0,18
"809",0,9
"810",0,48
"811",0,16
"812",0,NA
"813",0,NA
"814",0,25
"815",0,NA
"816",1,38
"817",0,22
"818",1,16
"819",1,NA
"820",0,33
"821",1,NA
"822",1,9
"823",0,41
"824",0,38
"825",0,40
"826",0,43
"827",0,14
"828",0,16
"829",0,9
"830",0,10
"831",0,6
"832",0,11
"833",0,40
"834",0,32
"835",0,NA
"836",0,20
"837",0,37
"838",0,28
"839",0,19
"840",0,24
"841",0,17
"842",0,NA
"843",0,NA
"844",0,28
"845",1,24
"846",0,20
"847",0,41
"848",1,45
"849",0,26
"850",0,21
"851",0,NA
"852",0,NA
"853",0,NA
"854",0,NA
"855",0,NA
"856",1,27
"857",0,NA
"858",0,18
"859",1,26
"860",0,23
"861",1,22
"862",0,NA
"863",0,NA
"864",0,NA
"865",0,28
"866",1,22
"867",0,2
"868",0,43
"869",0,NA
"870",1,27
"871",0,NA
"872",1,NA
"873",0,42
"874",1,NA
"875",0,NA
"876",0,27
"877",0,25
"878",0,NA
"879",1,27
"880",0,NA
"881",1,19
"882",0,20
"883",0,48
"884",0,17
"885",1,NA
"886",0,NA
"887",0,34
"888",0,22
"889",0,33
"890",1,32
"891",0,29
"892",1,26
"893",0,49
"894",1,1
"895",0,33
"896",1,4
"897",0,24
"898",0,19
"899",0,NA
"900",0,NA
"901",0,NA
"902",0,NA
"903",0,NA
"904",1,32
"905",0,27
"906",0,21
"907",1,32
"908",0,20
"909",0,17
"910",0,21
"911",0,30
"912",1,21
"913",0,23
"914",0,22
"915",1,4
"916",0,39
"917",0,NA
"918",0,20
"919",0,NA
"920",0,NA
"921",1,21
"922",0,44
"923",0,42
"924",1,21
"925",0,24
"926",0,NA
"927",0,NA
"928",0,NA
"929",0,25
"930",0,22
"931",0,22
"932",1,39
"933",0,26
"934",1,4
"935",0,22
"936",0,26
"937",0,1.5
"938",0,36
"939",0,18
"940",0,NA
"941",1,25
"942",0,NA
"943",0,37
"944",0,NA
"945",1,NA
"946",0,NA
"947",1,22
"948",0,20
"949",1,26
"950",0,29
"951",0,29
"952",0,22
"953",1,NA
"954",0,NA
"955",0,NA
"956",0,NA
"957",0,NA
"958",0,NA
"959",0,32
"960",0,NA
"961",0,21
"962",0,21
"963",0,36
"964",0,39
"965",0,25
"966",0,45
"967",0,36
"968",0,30
"969",1,20
"970",0,NA
"971",0,NA
"972",0,NA
"973",0,NA
"974",0,NA
"975",0,NA
"976",0,NA
"977",1,NA
"978",0,NA
"979",1,NA
"980",0,NA
"981",0,NA
"982",0,NA
"983",1,NA
"984",0,NA
"985",0,NA
"986",0,NA
"987",0,NA
"988",0,NA
"989",1,NA
"990",0,NA
"991",1,NA
"992",0,NA
"993",0,NA
"994",0,NA
"995",0,NA
"996",0,NA
"997",1,NA
"998",0,NA
"999",1,NA
"1000",0,NA
"1001",0,NA
"1002",0,NA
"1003",0,NA
"1004",0,NA
"1005",0,NA
"1006",1,NA
"1007",0,NA
"1008",0,NA
"1009",0,NA
"1010",0,NA
"1011",0,NA
"1012",0,NA
"1013",0,NA
"1014",0,NA
"1015",0,23
"1016",0,NA
"1017",1,NA
"1018",0,NA
"1019",0,NA
"1020",0,NA
"1021",0,NA
"1022",0,NA
"1023",0,NA
"1024",1,NA
"1025",0,NA
"1026",1,NA
"1027",0,NA
"1028",0,NA
"1029",1,NA
"1030",0,NA
"1031",0,NA
"1032",0,NA
"1033",0,NA
"1034",1,NA
"1035",0,NA
"1036",0,NA
"1037",0,NA
"1038",0,NA
"1039",0,NA
"1040",0,NA
"1041",1,NA
"1042",0,NA
"1043",0,NA
"1044",0,NA
"1045",0,NA
"1046",0,NA
"1047",0,NA
"1048",1,NA
"1049",0,NA
"1050",0,NA
"1051",0,NA
"1052",0,NA
"1053",0,NA
"1054",0,NA
"1055",0,NA
"1056",1,NA
"1057",0,NA
"1058",0,NA
"1059",0,NA
"1060",0,NA
"1061",0,NA
"1062",0,NA
"1063",0,NA
"1064",1,NA
"1065",0,NA
"1066",0,NA
"1067",0,NA
"1068",0,NA
"1069",1,NA
"1070",0,NA
"1071",0,NA
"1072",0,NA
"1073",1,NA
"1074",0,NA
"1075",0,NA
"1076",0,NA
"1077",0,NA
"1078",1,NA
"1079",0,NA
"1080",0,NA
"1081",0,NA
"1082",1,NA
"1083",0,NA
"1084",0,NA
"1085",0,NA
"1086",0,NA
"1087",0,NA
"1088",0,NA
"1089",0,NA
"1090",0,NA
"1091",0,NA
"1092",0,NA
"1093",1,NA
"1094",0,NA
"1095",0,NA
"1096",0,NA
"1097",0,NA
"1098",0,NA
"1099",1,NA
"1100",0,NA
"1101",0,NA
"1102",0,NA
"1103",0,NA
"1104",0,NA
"1105",0,NA
"1106",0,NA
"1107",0,NA
"1108",0,NA
"1109",0,NA
"1110",0,NA
"1111",0,NA
"1112",0,NA
"1113",0,NA
"1114",0,NA
"1115",0,NA
"1116",0,NA
"1117",0,NA
"1118",0,NA
"1119",0,NA
"1120",0,NA
"1121",0,NA
"1122",0,NA
"1123",1,NA
"1124",0,NA
"1125",0,NA
"1126",1,NA
"1127",0,NA
"1128",0,NA
"1129",0,NA
"1130",0,NA
"1131",0,NA
"1132",0,NA
"1133",0,NA
"1134",0,NA
"1135",0,NA
"1136",0,NA
"1137",1,NA
"1138",0,NA
"1139",0,NA
"1140",0,NA
"1141",0,NA
"1142",0,NA
"1143",0,NA
"1144",0,NA
"1145",0,NA
"1146",0,NA
"1147",0,NA
"1148",0,NA
"1149",0,NA
"1150",0,NA
"1151",0,NA
"1152",1,NA
"1153",0,NA
"1154",0,NA
"1155",0,NA
"1156",0,NA
"1157",0,NA
"1158",0,NA
"1159",0,NA
"1160",0,NA
"1161",0,NA
"1162",1,NA
"1163",0,NA
"1164",0,NA
"1165",1,NA
"1166",0,NA
"1167",0,NA
"1168",1,NA
"1169",0,NA
"1170",0,NA
"1171",0,NA
"1172",0,NA
"1173",0,NA
"1174",0,NA
"1175",0,NA
"1176",0,NA
"1177",0,NA
"1178",0,NA
"1179",0,NA
"1180",0,NA
"1181",0,NA
"1182",0,21
"1183",1,NA
"1184",0,NA
"1185",0,NA
"1186",0,NA
"1187",0,NA
"1188",1,NA
"1189",0,1.5
"1190",0,NA
"1191",0,NA
"1192",0,NA
"1193",0,NA
"1194",0,NA
"1195",0,NA
"1196",0,NA
"1197",0,NA
"1198",0,NA
"1199",0,NA
"1200",1,NA
"1201",0,NA
"1202",1,NA
"1203",0,NA
"1204",0,NA
"1205",0,NA
"1206",0,NA
"1207",0,NA
"1208",1,NA
"1209",0,NA
"1210",0,NA
"1211",0,NA
"1212",0,NA
"1213",0,NA
"1214",0,NA
"1215",0,NA
"1216",0,NA
"1217",0,NA
"1218",0,NA
"1219",0,NA
"1220",1,NA
"1221",0,NA
"1222",0,NA
"1223",1,NA
"1224",0,NA
"1225",0,NA
"1226",0,NA
"1227",1,NA
"1228",0,NA
"1229",0,NA
"1230",0,NA
"1231",0,NA
"1232",1,NA
"1233",0,NA
"1234",0,NA
"1235",0,NA
"1236",1,NA
"1237",0,NA
"1238",0,NA
"1239",0,NA
"1240",1,NA
"1241",0,NA
"1242",0,NA
"1243",1,NA
"1244",0,NA
"1245",1,NA
"1246",0,NA
"1247",0,NA
"1248",0,NA
"1249",0,NA
"1250",0,NA
"1251",0,NA
"1252",1,NA
"1253",0,NA
"1254",0,NA
"1255",0,NA
"1256",0,NA
"1257",0,NA
"1258",0,NA
"1259",1,25
"1260",0,NA
"1261",0,NA
"1262",0,NA
"1263",0,NA
"1264",1,18
"1265",1,63
"1266",0,NA
"1267",0,NA
"1268",0,NA
"1269",0,NA
"1270",0,18
"1271",0,31
"1272",0,31
"1273",0,15
"1274",0,28
"1275",0,36
"1276",0,28
"1277",0,10
"1278",0,36
"1279",0,30
"1280",1,22
"1281",0,NA
"1282",0,29
"1283",0,47
"1284",0,14
"1285",0,22
"1286",0,NA
"1287",0,NA
"1288",0,NA
"1289",0,NA
"1290",1,NA
"1291",0,NA
"1292",0,51
"1293",0,18
"1294",1,45
"1295",0,NA
"1296",0,NA
"1297",0,NA
"1298",0,28
"1299",0,21
"1300",0,27
"1301",0,NA
"1302",0,36
"1303",1,NA
"1304",0,27
"1305",1,15
"1306",0,NA
"1307",0,NA
"1308",0,NA
"1309",0,27
"1310",0,26
"1311",0,22
"1312",0,24
"1313",0,29
