Points,OppPoints,WinMargin,Start,Ss,BlanksNumber,J,Q,X,Z,Blanks
357,302,55,first,4,0,1,0,1,1,0blanks
386,311,75,first,2,0,0,0,0,0,0blanks
434,364,70,pass,2,0,1,0,0,0,0blanks
418,357,61,first,1,1,1,0,1,1,1blank
411,356,55,first,3,1,0,1,0,1,1blank
373,261,112,first,1,2,0,0,1,0,2blanks
367,343,24,first,2,0,0,1,1,1,0blanks
294,254,40,pass,5,0,0,1,0,0,0blanks
383,331,52,pass,0,1,0,0,1,1,1blank
386,327,59,first,3,0,0,0,1,0,0blanks
368,277,91,pass,3,0,0,0,1,1,0blanks
360,331,29,pass,3,0,1,0,0,0,0blanks
378,372,6,pass,3,1,1,0,1,0,1blank
373,339,34,first,1,2,1,0,0,1,2blanks
364,308,56,pass,3,2,0,0,1,0,2blanks
365,312,53,pass,3,0,1,0,1,0,0blanks
366,311,55,pass,4,1,1,1,0,1,1blank
349,320,29,pass,2,0,0,0,1,0,0blanks
415,377,38,pass,3,1,0,1,1,1,1blank
394,305,89,pass,1,1,0,1,0,1,1blank
382,329,53,pass,2,0,1,0,1,1,0blanks
367,332,35,pass,3,1,0,0,0,1,1blank
353,300,53,pass,1,2,0,0,0,0,2blanks
362,317,45,pass,1,2,1,1,0,0,2blanks
379,330,49,pass,2,2,0,0,0,1,2blanks
349,304,45,pass,3,0,1,0,1,1,0blanks
421,357,64,pass,1,1,1,0,1,1,1blank
350,337,13,pass,2,1,1,1,1,0,1blank
361,329,32,pass,2,2,1,1,1,0,2blanks
344,307,37,pass,1,1,1,1,1,0,1blank
334,288,46,pass,1,1,1,1,0,0,1blank
416,338,78,pass,3,1,0,1,1,0,1blank
397,327,70,pass,3,1,0,0,1,1,1blank
398,383,15,pass,1,1,1,1,1,1,1blank
361,313,48,pass,2,1,0,1,0,1,1blank
416,368,48,pass,3,2,0,1,1,0,2blanks
447,314,133,pass,3,2,1,0,1,1,2blanks
393,343,50,pass,2,1,0,0,0,1,1blank
378,359,19,pass,2,0,1,1,1,1,0blanks
346,282,64,first,2,1,1,0,1,0,1blank
330,311,19,first,2,1,0,1,1,0,1blank
344,324,20,first,3,1,0,0,1,1,1blank
459,402,57,first,3,2,1,1,0,1,2blanks
369,335,34,first,2,1,0,1,0,1,1blank
328,293,35,first,2,0,1,1,1,0,0blanks
467,413,54,pass,2,2,1,0,1,0,2blanks
366,335,31,pass,3,2,0,0,0,1,2blanks
370,346,24,pass,3,2,1,0,1,1,2blanks
367,285,82,pass,2,2,0,1,1,0,2blanks
379,342,37,pass,3,1,0,0,1,0,1blank
411,342,69,first,2,1,1,1,1,0,1blank
385,325,60,pass,2,1,1,0,0,1,1blank
353,294,59,first,5,2,0,0,0,0,2blanks
384,361,23,pass,3,2,0,1,1,1,2blanks
399,343,56,first,3,2,0,1,0,0,2blanks
401,352,49,pass,3,0,0,1,1,0,0blanks
427,382,45,first,3,0,0,1,0,1,0blanks
417,357,60,pass,2,2,0,1,0,0,2blanks
431,407,24,first,3,1,1,1,0,1,1blank
391,324,67,pass,2,1,1,1,1,0,1blank
412,350,62,first,2,1,0,0,1,0,1blank
393,344,49,pass,2,1,0,1,1,0,1blank
352,312,40,first,2,0,0,1,0,1,0blanks
380,354,26,pass,2,1,1,0,1,1,1blank
383,380,3,first,3,2,0,1,1,0,2blanks
405,307,98,pass,3,2,1,0,0,1,2blanks
386,342,44,first,2,1,0,1,1,1,1blank
370,350,20,pass,3,1,1,1,1,0,1blank
389,347,42,first,3,1,0,1,1,1,1blank
397,356,41,pass,1,0,1,1,0,0,0blanks
363,334,29,first,2,1,1,0,0,0,1blank
390,362,28,pass,1,1,1,0,0,1,1blank
448,364,84,first,4,2,0,1,1,0,2blanks
436,409,27,pass,2,2,1,0,1,0,2blanks
454,417,37,first,4,1,0,1,1,1,1blank
366,278,88,pass,2,0,0,0,0,0,0blanks
403,326,77,first,3,0,0,0,0,1,0blanks
422,322,100,pass,4,1,0,0,0,1,1blank
416,381,35,first,1,0,1,1,0,0,0blanks
393,358,35,pass,3,0,1,0,0,1,0blanks
348,361,-13,first,2,0,0,0,0,1,0blanks
413,350,63,pass,2,2,1,1,0,0,2blanks
361,314,47,first,3,0,1,1,1,0,0blanks
357,294,63,pass,1,1,1,1,0,0,1blank
429,386,43,first,2,1,1,0,1,1,1blank
389,324,65,pass,2,2,1,0,1,0,2blanks
425,373,52,first,4,1,0,0,1,1,1blank
362,239,123,pass,4,1,0,0,1,1,1blank
344,265,79,first,1,0,0,0,0,0,0blanks
421,373,48,pass,3,1,0,0,1,0,1blank
391,342,49,first,3,0,1,0,0,0,0blanks
423,359,64,pass,3,0,1,1,0,0,0blanks
373,325,48,first,2,2,1,1,1,0,2blanks
330,314,16,pass,0,1,0,0,0,1,1blank
404,307,97,first,2,1,1,0,0,1,1blank
343,322,21,pass,1,1,0,1,0,1,1blank
344,294,50,first,3,0,0,1,0,0,0blanks
410,389,21,pass,2,1,1,0,1,0,1blank
328,296,32,first,2,2,0,0,0,0,2blanks
388,349,39,pass,3,1,1,0,0,0,1blank
403,376,27,first,3,1,1,0,1,0,1blank
360,322,38,pass,2,1,1,0,0,1,1blank
327,313,14,first,3,2,1,1,0,0,2blanks
387,315,72,pass,1,2,0,1,0,1,2blanks
404,363,41,first,1,2,1,1,0,1,2blanks
390,351,39,pass,2,0,0,0,0,1,0blanks
391,367,24,first,1,1,0,0,0,0,1blank
382,361,21,pass,4,2,0,1,0,1,2blanks
392,330,62,first,2,1,0,1,0,1,1blank
447,401,46,pass,1,2,0,1,0,0,2blanks
394,338,56,first,2,1,0,0,1,1,1blank
389,364,25,pass,1,1,0,0,1,0,1blank
361,323,38,first,4,1,0,0,1,1,1blank
432,370,62,pass,3,2,1,1,1,0,2blanks
405,311,94,first,2,0,1,0,1,0,0blanks
339,290,49,pass,2,0,1,0,0,0,0blanks
413,389,24,first,1,2,1,1,1,1,2blanks
424,349,75,pass,2,1,1,0,0,0,1blank
487,443,44,first,5,1,1,0,1,0,1blank
354,262,92,pass,2,1,1,0,1,1,1blank
396,366,30,first,1,1,0,1,1,1,1blank
420,313,107,pass,2,2,0,1,0,0,2blanks
337,268,69,first,3,0,0,0,1,0,0blanks
415,381,34,pass,2,0,0,0,0,0,0blanks
395,372,23,first,2,0,1,1,0,1,0blanks
364,297,67,pass,1,1,1,1,0,0,1blank
380,334,46,first,4,0,1,0,0,0,0blanks
411,349,62,pass,1,1,1,0,1,0,1blank
423,362,61,first,1,2,0,1,1,1,2blanks
353,299,54,pass,3,1,0,1,0,0,1blank
396,279,117,first,1,1,0,0,0,1,1blank
363,329,34,pass,4,1,0,1,1,1,1blank
395,323,72,first,1,1,1,0,1,1,1blank
421,348,73,pass,2,2,1,0,1,1,2blanks
388,283,105,first,1,2,0,0,0,1,2blanks
411,307,104,pass,2,2,1,0,0,1,2blanks
406,379,27,first,2,1,1,1,0,0,1blank
406,364,42,pass,2,1,0,0,1,1,1blank
408,344,64,first,3,1,1,0,0,0,1blank
363,287,76,pass,4,0,0,0,0,0,0blanks
465,427,38,first,3,0,0,0,0,1,0blanks
429,339,90,pass,4,2,0,0,1,0,2blanks
360,309,51,first,3,0,1,1,0,0,0blanks
371,292,79,pass,4,0,0,1,1,0,0blanks
458,417,41,first,1,1,1,1,1,1,1blank
426,413,13,pass,2,2,0,1,0,1,2blanks
397,344,53,first,3,0,1,1,1,1,0blanks
357,336,21,pass,3,2,0,0,0,0,2blanks
388,353,35,first,2,1,1,0,1,0,1blank
391,335,56,pass,3,2,1,0,0,0,2blanks
402,338,64,first,3,1,0,1,0,1,1blank
383,315,68,pass,1,0,1,1,0,1,0blanks
364,311,53,first,3,0,0,0,1,0,0blanks
420,334,86,pass,3,1,1,1,1,1,1blank
374,333,41,first,4,0,0,1,1,1,0blanks
350,302,48,pass,2,1,0,0,1,0,1blank
411,373,38,first,4,1,0,1,1,1,1blank
382,332,50,pass,4,0,1,0,1,0,0blanks
441,379,62,first,4,1,0,1,0,1,1blank
455,403,52,pass,3,2,0,0,0,0,2blanks
393,380,13,first,3,0,0,0,0,0,0blanks
481,404,77,pass,4,0,1,1,0,1,0blanks
351,273,78,first,2,2,1,0,0,0,2blanks
382,334,48,pass,2,0,0,0,1,1,0blanks
406,330,76,first,4,0,0,1,0,1,0blanks
331,304,27,pass,2,1,0,1,0,1,1blank
425,345,80,first,3,1,1,1,1,1,1blank
432,347,85,pass,5,1,1,0,1,1,1blank
414,348,66,first,2,1,0,0,1,1,1blank
434,361,73,pass,3,1,0,1,1,1,1blank
367,332,35,first,1,0,1,1,1,1,0blanks
437,397,40,pass,2,1,0,1,1,0,1blank
386,338,48,first,3,2,1,1,0,0,2blanks
409,351,58,pass,1,0,1,0,1,0,0blanks
406,358,48,first,2,2,1,0,1,0,2blanks
379,340,39,pass,2,1,1,0,0,1,1blank
375,312,63,first,3,1,0,1,0,0,1blank
352,287,65,pass,2,0,0,0,0,1,0blanks
379,330,49,first,3,0,1,1,0,1,0blanks
444,370,74,pass,1,0,0,0,0,1,0blanks
362,338,24,first,4,0,0,1,0,0,0blanks
382,352,30,pass,2,2,0,1,1,0,2blanks
387,335,52,first,4,0,1,1,0,0,0blanks
376,311,65,pass,1,0,1,1,0,0,0blanks
437,379,58,first,3,1,0,0,1,1,1blank
368,343,25,pass,0,1,0,1,1,0,1blank
358,314,44,first,4,0,1,0,0,1,0blanks
391,358,33,pass,2,1,0,1,0,0,1blank
424,330,94,first,0,1,1,1,0,0,1blank
414,361,53,pass,3,1,1,1,0,0,1blank
450,386,64,first,4,1,0,1,1,0,1blank
378,324,54,pass,2,1,0,1,0,1,1blank
391,340,51,first,2,0,0,0,1,1,0blanks
338,308,30,pass,3,1,1,1,0,0,1blank
387,370,17,first,1,1,1,1,1,0,1blank
448,374,74,pass,5,1,1,0,0,0,1blank
431,392,39,first,4,2,0,0,0,0,2blanks
386,331,55,pass,1,1,0,0,0,1,1blank
421,357,64,first,3,0,1,0,1,0,0blanks
375,341,34,pass,3,0,1,1,1,1,0blanks
455,367,88,first,3,1,0,1,1,1,1blank
379,329,50,pass,3,2,0,0,0,1,2blanks
437,348,89,first,3,1,1,0,1,1,1blank
427,363,64,pass,1,1,1,1,1,0,1blank
385,328,57,first,2,1,0,1,1,1,1blank
407,332,75,pass,3,2,0,0,1,0,2blanks
520,348,172,first,2,1,1,0,1,1,1blank
385,372,13,pass,1,0,1,0,1,1,0blanks
394,344,50,first,3,1,1,0,1,1,1blank
305,294,11,pass,0,0,0,1,0,0,0blanks
448,418,30,first,2,1,1,0,1,1,1blank
387,316,71,pass,2,1,0,1,0,0,1blank
378,314,64,first,2,2,1,0,1,0,2blanks
449,381,68,pass,1,1,1,0,1,1,1blank
416,353,63,first,2,1,0,0,0,1,1blank
330,274,56,pass,3,1,0,1,1,0,1blank
378,331,47,first,3,2,0,1,0,0,2blanks
440,340,100,pass,4,2,1,1,1,1,2blanks
434,396,38,first,2,1,1,1,0,0,1blank
396,356,40,pass,3,1,0,0,1,1,1blank
388,315,73,first,4,1,0,0,1,0,1blank
360,339,21,pass,2,0,0,1,0,1,0blanks
359,329,30,first,3,1,0,0,1,0,1blank
425,350,75,pass,3,2,1,0,0,1,2blanks
406,358,48,first,1,2,1,1,0,0,2blanks
417,306,111,pass,3,2,1,1,1,0,2blanks
411,356,55,first,3,2,1,0,0,1,2blanks
395,385,10,pass,0,0,0,1,1,0,0blanks
409,364,45,first,4,1,0,1,0,1,1blank
388,356,32,pass,1,1,1,1,0,1,1blank
381,327,54,first,3,1,0,1,1,1,1blank
451,360,91,pass,3,1,1,0,1,1,1blank
360,359,1,first,4,0,1,0,0,1,0blanks
436,361,75,pass,2,2,0,0,0,0,2blanks
420,379,41,first,2,2,0,1,1,0,2blanks
359,330,29,pass,0,0,0,1,0,1,0blanks
343,290,53,first,0,2,0,1,0,0,2blanks
382,324,58,pass,4,1,0,1,0,1,1blank
440,381,59,first,2,1,1,1,0,0,1blank
341,325,16,pass,2,1,0,1,1,0,1blank
370,372,-2,first,2,1,0,1,1,1,1blank
371,345,26,pass,2,1,0,0,1,0,1blank
379,307,72,first,4,1,0,0,0,0,1blank
388,320,68,pass,2,0,0,1,1,1,0blanks
393,360,33,first,3,1,0,0,1,0,1blank
361,333,28,pass,3,0,1,1,1,1,0blanks
388,329,59,first,1,1,0,1,1,1,1blank
373,317,56,pass,2,1,0,1,1,0,1blank
412,352,60,first,3,1,0,0,1,0,1blank
422,309,113,pass,4,2,1,0,0,1,2blanks
371,332,39,first,4,1,0,0,0,1,1blank
363,346,17,pass,1,1,0,1,1,0,1blank
405,324,81,first,4,2,0,0,1,0,2blanks
456,392,64,pass,2,1,0,0,0,1,1blank
434,397,37,first,3,0,1,0,0,0,0blanks
397,369,28,pass,3,1,0,0,1,1,1blank
433,363,70,first,2,2,1,0,1,0,2blanks
448,387,61,pass,3,2,1,1,0,0,2blanks
335,286,49,first,2,0,0,0,1,0,0blanks
404,364,40,pass,4,0,0,0,0,0,0blanks
392,353,39,first,2,1,1,1,1,1,1blank
416,341,75,pass,3,1,1,0,0,0,1blank
418,374,44,first,3,2,0,1,1,1,2blanks
412,356,56,pass,3,2,1,1,0,0,2blanks
485,333,152,first,3,2,1,0,1,0,2blanks
389,368,21,pass,4,1,1,0,1,1,1blank
412,345,67,first,2,1,1,1,1,1,1blank
476,415,61,pass,2,0,1,1,0,1,0blanks
385,332,53,first,0,1,1,1,1,0,1blank
367,345,22,pass,2,1,0,0,0,0,1blank
347,280,67,first,3,0,1,1,1,0,0blanks
398,353,45,pass,4,0,0,0,1,1,0blanks
352,329,23,first,2,2,1,1,0,0,2blanks
403,328,75,pass,2,2,1,0,0,1,2blanks
450,402,48,first,1,0,1,0,1,1,0blanks
435,334,101,pass,1,0,1,0,1,0,0blanks
493,415,78,first,2,1,0,1,1,1,1blank
408,357,51,pass,2,1,0,0,0,1,1blank
397,332,65,first,4,0,1,1,0,0,0blanks
361,324,37,pass,0,1,0,1,1,0,1blank
375,345,30,first,2,0,1,0,0,0,0blanks
398,326,72,pass,5,2,0,0,0,0,2blanks
385,328,57,first,5,2,1,1,0,1,2blanks
371,316,55,pass,2,1,0,1,0,1,1blank
401,355,46,first,1,1,1,1,0,0,1blank
393,306,87,pass,2,2,0,0,0,0,2blanks
439,337,102,first,4,1,0,0,0,1,1blank
371,298,73,pass,1,1,0,0,0,0,1blank
398,359,39,first,1,0,1,0,1,0,0blanks
380,347,33,pass,4,0,0,0,1,0,0blanks
371,329,42,first,4,0,0,0,1,0,0blanks
409,349,60,pass,2,1,1,1,0,1,1blank
384,333,51,first,3,1,0,1,1,0,1blank
429,354,75,pass,2,1,0,1,1,1,1blank
395,312,83,first,1,2,0,1,1,1,2blanks
428,383,45,pass,2,1,0,0,1,1,1blank
408,359,49,first,1,1,0,0,1,0,1blank
387,328,59,pass,1,0,0,1,0,1,0blanks
359,338,21,first,4,1,0,0,1,1,1blank
401,346,55,pass,1,2,1,1,0,0,2blanks
380,320,60,first,1,1,0,1,0,0,1blank
473,402,71,pass,3,2,0,0,0,0,2blanks
425,375,50,first,2,2,0,1,0,0,2blanks
420,346,74,pass,3,1,1,0,1,0,1blank
393,343,50,first,1,2,0,1,1,0,2blanks
374,277,97,pass,4,2,0,0,1,0,2blanks
421,344,77,first,1,0,1,0,1,0,0blanks
402,314,88,pass,3,1,0,0,0,1,1blank
411,370,41,first,2,1,1,0,1,1,1blank
335,306,29,pass,1,1,1,1,1,0,1blank
427,352,75,first,4,1,0,0,1,0,1blank
377,319,58,pass,2,0,0,1,1,1,0blanks
308,385,-77,first,3,0,1,1,0,1,0blanks
475,344,131,pass,3,1,1,0,1,1,1blank
380,336,44,first,4,2,0,0,0,1,2blanks
356,300,56,pass,3,2,0,0,1,1,2blanks
375,328,47,first,3,1,1,1,1,1,1blank
370,281,89,pass,2,1,1,0,0,1,1blank
461,332,129,first,1,1,0,1,1,1,1blank
396,352,44,pass,1,2,0,0,1,1,2blanks
397,362,35,first,1,1,0,0,0,0,1blank
423,393,30,pass,2,1,0,1,0,1,1blank
484,350,134,first,5,2,0,1,0,1,2blanks
388,339,49,pass,1,1,0,0,0,1,1blank
404,337,67,first,2,2,0,0,0,1,2blanks
367,319,48,pass,4,0,0,1,0,1,0blanks
452,383,69,first,2,0,1,0,1,0,0blanks
409,361,48,pass,1,1,1,0,1,1,1blank
505,417,88,first,3,2,1,0,1,0,2blanks
434,385,49,pass,4,1,1,0,0,1,1blank
422,388,34,first,2,2,0,0,0,0,2blanks
378,319,59,pass,2,0,1,0,0,1,0blanks
422,378,44,first,2,2,1,0,0,0,2blanks
365,317,48,pass,4,1,0,0,0,0,1blank
404,345,59,first,3,0,0,0,1,0,0blanks
375,357,18,pass,3,0,0,0,1,1,0blanks
370,356,14,first,3,0,0,1,0,0,0blanks
389,384,5,pass,3,0,0,1,0,1,0blanks
352,345,7,first,2,1,1,0,1,0,1blank
431,383,48,pass,5,1,0,0,1,1,1blank
402,341,61,first,1,1,1,1,0,0,1blank
407,372,35,pass,2,1,0,0,1,0,1blank
381,330,51,first,2,0,0,0,0,1,0blanks
387,348,39,pass,3,0,1,0,0,0,0blanks
419,358,61,first,3,2,1,1,1,1,2blanks
366,311,55,pass,3,1,0,1,1,0,1blank
370,325,45,first,4,1,0,0,0,0,1blank
373,314,59,pass,3,2,0,0,0,0,2blanks
419,323,96,first,1,2,0,1,1,0,2blanks
377,337,40,pass,2,2,0,1,1,0,2blanks
373,337,36,first,0,1,1,1,1,0,1blank
422,394,28,pass,2,0,1,0,1,0,0blanks
393,341,52,first,2,0,1,1,1,0,0blanks
365,324,41,pass,3,0,0,0,0,1,0blanks
389,340,49,first,2,1,0,1,1,1,1blank
436,358,78,pass,2,2,1,0,1,0,2blanks
431,340,91,first,4,0,1,0,1,0,0blanks
419,361,58,pass,2,1,1,0,1,0,1blank
439,389,50,first,2,2,1,0,1,1,2blanks
413,386,27,pass,4,1,0,0,0,0,1blank
366,301,65,first,2,1,1,1,1,0,1blank
458,383,75,pass,3,2,1,0,0,1,2blanks
373,341,32,first,2,1,0,0,1,0,1blank
393,330,63,pass,2,2,1,0,0,1,2blanks
325,288,37,first,2,1,0,0,0,1,1blank
334,272,62,pass,3,1,1,1,0,0,1blank
398,336,62,first,2,1,0,1,1,1,1blank
419,364,55,pass,2,2,0,1,1,0,2blanks
422,383,39,first,1,2,1,0,0,1,2blanks
442,386,56,pass,2,1,1,1,1,0,1blank
344,314,30,first,3,0,0,1,0,1,0blanks
383,364,19,pass,2,1,1,0,1,0,1blank
409,366,43,first,2,0,0,1,0,1,0blanks
381,341,40,pass,1,1,0,1,0,1,1blank
411,352,59,first,2,2,0,0,1,0,2blanks
373,358,15,pass,2,0,0,0,1,1,0blanks
377,368,9,first,3,1,1,0,0,0,1blank
401,300,101,pass,2,2,1,0,0,0,2blanks
343,268,75,first,2,1,0,0,1,0,1blank
426,367,59,pass,4,1,1,1,1,0,1blank
414,363,51,first,1,2,1,0,0,0,2blanks
401,342,59,pass,3,1,1,0,1,1,1blank
415,380,35,first,2,1,0,0,0,1,1blank
440,327,113,pass,2,0,1,0,1,0,0blanks
451,399,52,first,3,1,1,0,1,0,1blank
397,333,64,pass,3,1,1,1,0,1,1blank
413,358,55,first,1,1,0,0,1,1,1blank
443,364,79,pass,1,1,0,1,1,1,1blank
408,363,45,first,2,0,0,1,0,0,0blanks
368,282,86,pass,5,2,1,0,1,0,2blanks
442,333,109,first,3,2,0,0,1,0,2blanks
343,318,25,pass,2,1,1,0,1,0,1blank
362,339,23,first,1,2,0,1,1,1,2blanks
375,343,32,pass,3,1,1,1,0,1,1blank
369,319,50,first,2,1,0,0,0,1,1blank
415,333,82,pass,2,0,0,1,0,1,0blanks
368,299,69,first,2,1,0,0,0,0,1blank
405,367,38,pass,4,2,1,1,0,0,2blanks
343,330,13,first,3,0,0,1,1,0,0blanks
359,311,48,pass,4,1,0,0,0,0,1blank
370,321,49,first,1,2,0,0,1,0,2blanks
436,374,62,pass,3,2,0,1,1,1,2blanks
383,289,94,first,2,1,1,0,1,0,1blank
401,361,40,pass,1,0,1,1,0,0,0blanks
429,377,52,first,3,1,0,1,0,1,1blank
380,311,69,pass,2,2,0,0,1,1,2blanks
466,404,62,first,2,1,1,1,0,0,1blank
463,352,111,pass,4,1,0,0,0,1,1blank
369,340,29,first,1,1,0,1,0,0,1blank
372,330,42,pass,2,0,1,0,0,0,0blanks
437,387,50,first,2,1,1,1,1,1,1blank
363,341,22,pass,2,2,0,1,0,0,2blanks
479,405,74,first,2,2,1,0,1,1,2blanks
393,345,48,pass,3,1,0,0,1,1,1blank
419,360,59,first,4,1,0,0,0,1,1blank
388,357,31,pass,3,2,0,1,1,0,2blanks
335,287,48,first,3,1,1,1,0,1,1blank
441,383,58,pass,2,2,1,0,1,0,2blanks
386,315,71,first,1,1,0,1,1,0,1blank
389,353,36,pass,1,2,0,1,0,1,2blanks
379,335,44,first,3,0,0,1,1,0,0blanks
392,337,55,pass,1,0,1,0,0,1,0blanks
405,364,41,first,3,1,1,1,1,0,1blank
349,286,63,pass,2,2,1,1,1,0,2blanks
378,344,34,first,4,1,0,1,0,0,1blank
394,353,41,pass,1,1,0,1,0,0,1blank
394,349,45,first,4,1,0,0,1,1,1blank
401,305,96,pass,4,0,0,0,1,1,0blanks
408,343,65,first,4,1,0,0,1,0,1blank
459,315,144,pass,3,1,0,1,0,1,1blank
433,345,88,first,2,1,1,1,0,1,1blank
402,324,78,pass,2,2,0,0,0,0,2blanks
381,311,70,first,4,1,0,1,0,0,1blank
388,321,67,pass,3,2,0,0,1,0,2blanks
374,318,56,first,1,1,0,0,0,0,1blank
397,314,83,pass,3,1,0,0,0,0,1blank
412,345,67,first,2,2,1,0,0,0,2blanks
418,356,62,pass,3,1,1,1,1,0,1blank
434,353,81,first,1,0,0,0,1,0,0blanks
382,363,19,pass,5,1,0,0,0,0,1blank
460,384,76,first,3,1,0,0,0,1,1blank
400,350,50,pass,5,1,1,0,0,1,1blank
373,349,24,first,1,2,1,0,0,1,2blanks
453,324,129,pass,2,1,0,0,1,1,1blank
